sid,course,term,grade
104004,LTEC 3120,Spring 2024,W
101763,ITEC 3010,Fall 2024,A
102300,INFO 1100,Spring 2025,B
106255,LTEC 3120,Fall 2023,F
105896,DSCI 3210,Spring 2024,F
109202,ITEC 2010,Spring 2025,C
105892,DSCI 4160,Fall 2023,A
104927,INFO 1100,Spring 2025,B
105407,DSCI 3210,Spring 2024,C
104574,INFO 2600,Spring 2025,B
109185,INFO 1100,Fall 2024,D
108129,ITEC 2010,Fall 2024,C
105105,INFO 1100,Fall 2023,A
102623,INFO 1100,Spring 2024,C
100854,INFO 3340,Spring 2024,B
108654,ITEC 2010,Fall 2023,A
105067,INFO 2600,Fall 2024,A
102247,INFO 1100,Spring 2025,C
109902,INFO 1100,Fall 2023,A
105526,INFO 2200,Fall 2023,B
103794,CSEC 2100,Fall 2024,B
107886,INFO 2200,Spring 2024,C
101662,INFO 1100,Fall 2023,B
100299,INFO 4300,Spring 2025,C
100907,BUAN 2010,Spring 2024,A
108915,INFO 1100,Spring 2025,C
104843,INFO 1100,Fall 2023,F
109161,INFO 2200,Fall 2023,B
109709,INFO 1100,Spring 2024,B
103536,INFO 1100,Fall 2024,C
102608,INFO 1100,Fall 2023,B
102801,CSEC 4110,Spring 2024,A
108039,INFO 1100,Spring 2024,B
105523,INFO 4300,Spring 2024,C
101511,CSEC 3220,Fall 2024,A
106084,INFO 2200,Spring 2025,B
107166,CSEC 2100,Spring 2025,B
109022,DSCI 3210,Fall 2023,W
104980,INFO 3600,Spring 2025,A
109443,INFO 3340,Spring 2024,A
107293,CSEC 2100,Fall 2024,D
107127,INFO 2200,Fall 2024,W
103703,CSEC 2100,Spring 2025,C
101007,DSCI 4160,Fall 2024,C
103089,INFO 1100,Spring 2025,A
101256,INFO 1100,Fall 2024,F
101026,INFO 4300,Fall 2023,B
109123,DSCI 4160,Spring 2025,A
106246,CSEC 3220,Spring 2024,A
109762,INFO 1100,Fall 2023,A
107639,CSEC 4110,Spring 2024,A
108938,INFO 2200,Spring 2024,C
105833,CSEC 2100,Spring 2025,B
103820,INFO 2600,Fall 2023,A
105466,CSEC 3220,Spring 2025,B
107301,ITEC 3010,Fall 2023,B
103374,INFO 3340,Spring 2025,D
101269,INFO 3340,Fall 2023,B
101810,INFO 1100,Fall 2023,F
101022,CSEC 3220,Spring 2025,B
109892,CSEC 2100,Spring 2025,C
103777,INFO 2200,Spring 2025,C
104305,INFO 3600,Fall 2024,A
106532,INFO 1100,Fall 2023,W
101837,ITEC 2010,Spring 2024,B
108961,INFO 2200,Fall 2023,A
109103,INFO 2200,Fall 2024,C
109021,INFO 1100,Fall 2024,A
100676,INFO 2200,Spring 2025,B
107540,INFO 1100,Fall 2023,B
109610,CSEC 2100,Spring 2024,B
104363,INFO 4300,Fall 2023,A
103137,LTEC 2100,Spring 2024,A
102588,CSEC 3220,Fall 2023,B
109164,INFO 2200,Fall 2024,D
109188,INFO 2600,Spring 2024,A
108004,INFO 2200,Spring 2025,B
108418,INFO 1100,Spring 2024,A
107154,INFO 1100,Spring 2025,C
104609,INFO 1100,Spring 2024,C
100549,INFO 1100,Spring 2024,C
102372,INFO 1100,Fall 2024,B
104823,DSCI 3210,Fall 2024,A
107513,INFO 1100,Fall 2023,A
100575,CSEC 4110,Spring 2024,B
106689,INFO 4300,Spring 2024,A
107400,ITEC 3010,Spring 2024,C
103422,INFO 2200,Spring 2025,A
101394,INFO 1100,Fall 2024,B
109137,BUAN 2010,Fall 2023,B
101696,INFO 1100,Fall 2024,B
105356,INFO 2200,Fall 2024,A
109647,CSEC 2100,Spring 2024,A
101642,INFO 4300,Spring 2025,B
100966,INFO 2200,Fall 2024,A
106865,DSCI 3210,Spring 2024,F
109188,INFO 4300,Spring 2024,C
109446,INFO 1100,Spring 2024,B
101642,INFO 1100,Spring 2025,C
109149,CSEC 3220,Fall 2024,B
101634,CSEC 4110,Fall 2023,C
101041,CSEC 3220,Fall 2024,A
106645,INFO 4300,Fall 2024,B
102068,DSCI 3210,Spring 2025,A
105402,INFO 1100,Fall 2024,B
107424,ITEC 2010,Spring 2025,F
109502,ITEC 3010,Spring 2024,A
102596,LTEC 2100,Spring 2025,D
104342,INFO 2200,Spring 2024,C
108505,INFO 3600,Fall 2024,C
106014,CSEC 4110,Fall 2024,A
105231,INFO 2200,Fall 2023,A
104610,CSEC 2100,Fall 2024,C
101070,INFO 4300,Fall 2024,B
101971,INFO 1100,Spring 2024,A
101178,CSEC 2100,Spring 2024,A
107496,CSEC 4110,Fall 2024,A
101750,INFO 2200,Fall 2023,D
108416,INFO 2200,Fall 2023,B
107334,INFO 2200,Spring 2025,B
106413,INFO 2600,Spring 2024,A
102497,ITEC 3010,Fall 2023,B
100615,CSEC 4110,Spring 2025,F
103139,CSEC 4110,Fall 2024,B
100061,INFO 2600,Spring 2025,B
109399,INFO 1100,Spring 2024,A
100053,INFO 3600,Fall 2024,A
100654,INFO 2200,Spring 2025,A
106041,INFO 1100,Fall 2023,C
102640,CSEC 4110,Fall 2023,A
106830,INFO 2200,Fall 2023,B
101461,ITEC 3010,Fall 2024,A
106863,INFO 3600,Fall 2023,B
109206,CSEC 3220,Fall 2023,B
102682,CSEC 2100,Fall 2024,A
109871,INFO 1100,Spring 2024,A
107337,INFO 2200,Fall 2024,B
108899,INFO 2600,Spring 2024,A
106041,CSEC 4110,Spring 2024,B
106386,DSCI 4160,Spring 2024,A
109355,INFO 1100,Spring 2025,F
108117,INFO 1100,Fall 2024,B
109351,INFO 1100,Spring 2024,C
100299,INFO 2200,Fall 2024,B
100492,BUAN 3310,Spring 2024,B
103655,INFO 1100,Spring 2024,A
107381,BUAN 2010,Spring 2025,D
102804,INFO 1100,Fall 2023,B
108299,INFO 1100,Spring 2025,F
106986,CSEC 3220,Spring 2025,A
103786,BUAN 2010,Fall 2023,A
103466,CSEC 3220,Spring 2024,C
109030,ITEC 2010,Spring 2025,A
107505,CSEC 2100,Fall 2024,D
106070,INFO 2200,Spring 2025,A
109264,CSEC 2100,Fall 2024,A
102983,INFO 2200,Fall 2024,A
108827,DSCI 4160,Fall 2023,F
103677,DSCI 3210,Spring 2025,C
109409,CSEC 4110,Fall 2024,D
101449,INFO 1100,Spring 2024,B
105676,CSEC 2100,Spring 2025,C
108325,CSEC 2100,Spring 2025,F
100308,INFO 2600,Fall 2023,C
101596,INFO 1100,Fall 2024,C
103542,INFO 2600,Fall 2024,A
105833,INFO 2600,Spring 2024,C
109694,BUAN 3310,Spring 2025,A
107832,DSCI 3210,Fall 2024,F
109799,INFO 4300,Fall 2024,A
103967,INFO 1100,Spring 2025,F
102947,DSCI 3210,Spring 2024,W
100436,INFO 1100,Spring 2024,C
101019,INFO 1100,Fall 2023,C
104558,ITEC 2010,Spring 2024,A
104887,CSEC 2100,Fall 2023,C
101223,BUAN 2010,Spring 2025,C
107455,CSEC 4110,Spring 2025,F
104639,ITEC 2010,Fall 2023,F
102047,LTEC 2100,Fall 2024,W
108268,INFO 1100,Fall 2023,A
101487,INFO 1100,Fall 2023,W
101222,DSCI 3210,Fall 2024,B
109659,INFO 1100,Fall 2024,B
105896,INFO 2200,Fall 2023,B
107667,INFO 2600,Spring 2025,B
100790,INFO 1100,Fall 2024,B
100243,INFO 2600,Spring 2025,D
108935,INFO 1100,Fall 2024,C
101573,ITEC 3010,Fall 2023,C
107135,INFO 4300,Fall 2024,A
106882,CSEC 3220,Fall 2024,W
105833,INFO 1100,Fall 2024,C
100283,CSEC 2100,Spring 2024,A
103058,INFO 2200,Spring 2025,C
103522,INFO 2600,Spring 2025,A
105272,INFO 1100,Fall 2024,B
107923,INFO 2200,Spring 2024,B
105258,INFO 1100,Spring 2025,F
109871,INFO 3340,Fall 2024,D
101753,INFO 2200,Fall 2023,W
104789,INFO 2200,Spring 2025,A
106339,INFO 1100,Spring 2024,B
107941,CSEC 2100,Spring 2024,B
109291,INFO 1100,Spring 2025,D
105217,INFO 1100,Spring 2024,F
108291,CSEC 3220,Spring 2025,B
109395,ITEC 3010,Spring 2025,A
106851,INFO 1100,Fall 2024,C
108032,DSCI 3210,Fall 2024,A
106238,INFO 1100,Spring 2024,A
108019,INFO 4300,Spring 2024,B
106762,INFO 4300,Fall 2023,B
108352,INFO 4300,Spring 2024,B
105011,INFO 2200,Fall 2023,B
101449,INFO 2200,Spring 2025,B
105476,CSEC 3220,Spring 2025,B
109566,INFO 2200,Spring 2025,C
108508,INFO 4300,Spring 2024,F
104440,INFO 2200,Spring 2024,A
109395,INFO 2600,Fall 2024,B
106820,ITEC 2010,Spring 2025,W
108091,INFO 1100,Spring 2025,W
100614,INFO 1100,Spring 2024,W
101130,LTEC 2100,Fall 2023,C
101163,INFO 1100,Fall 2024,C
100854,INFO 2200,Spring 2024,C
103214,LTEC 2100,Spring 2024,B
103777,CSEC 3220,Spring 2024,B
106254,INFO 3340,Spring 2024,C
100020,ITEC 3010,Fall 2023,B
107049,INFO 2200,Fall 2023,A
106605,INFO 2200,Fall 2024,F
108641,INFO 1100,Fall 2023,W
105674,INFO 1100,Spring 2025,A
106132,DSCI 4160,Spring 2024,B
107793,INFO 2600,Spring 2024,A
104296,DSCI 3210,Spring 2025,C
103590,INFO 2600,Fall 2023,B
107315,DSCI 3210,Fall 2024,B
102424,ITEC 2010,Fall 2023,A
105674,CSEC 4110,Fall 2023,A
108159,CSEC 3220,Spring 2024,B
109434,INFO 3600,Spring 2024,B
106251,INFO 2200,Fall 2024,A
109012,BUAN 2010,Fall 2023,B
101425,INFO 2600,Spring 2025,C
103089,CSEC 2100,Spring 2024,B
108313,INFO 1100,Spring 2024,C
102436,INFO 1100,Spring 2025,C
106699,CSEC 2100,Fall 2024,A
105924,INFO 2200,Spring 2025,C
105341,BUAN 2010,Fall 2023,A
108187,INFO 1100,Spring 2025,A
104612,DSCI 4160,Fall 2023,B
100739,INFO 2200,Fall 2024,B
106359,CSEC 3220,Spring 2024,B
106057,DSCI 3210,Fall 2024,C
100986,CSEC 2100,Spring 2025,A
104207,BUAN 2010,Fall 2024,B
105137,INFO 2200,Fall 2024,A
109103,DSCI 3210,Fall 2023,B
100376,INFO 2200,Spring 2025,A
100376,INFO 1100,Fall 2023,A
105014,INFO 2200,Spring 2025,D
103854,INFO 1100,Fall 2024,B
101747,ITEC 2010,Fall 2023,A
104512,INFO 1100,Spring 2025,B
104783,INFO 1100,Spring 2025,C
105014,DSCI 3210,Fall 2023,C
108544,INFO 1100,Spring 2025,C
106924,CSEC 3220,Spring 2025,B
107308,INFO 1100,Spring 2025,B
108420,DSCI 3210,Fall 2023,C
106653,CSEC 2100,Spring 2025,W
106794,INFO 1100,Fall 2023,A
105892,INFO 1100,Spring 2025,D
107090,INFO 2600,Spring 2024,B
106984,INFO 1100,Fall 2023,B
104305,INFO 1100,Fall 2023,W
109902,LTEC 3120,Spring 2024,A
104105,INFO 1100,Fall 2024,C
102123,INFO 2600,Spring 2024,A
106984,LTEC 3120,Fall 2023,F
104355,INFO 2600,Fall 2023,A
101505,CSEC 3220,Spring 2024,B
109015,INFO 4300,Fall 2024,A
106355,CSEC 2100,Spring 2024,C
102147,INFO 2600,Fall 2024,B
100560,INFO 2200,Spring 2025,A
104043,INFO 1100,Fall 2024,W
106237,CSEC 4110,Spring 2024,B
105216,INFO 2600,Spring 2025,B
100663,INFO 2200,Spring 2024,F
108733,ITEC 2010,Fall 2023,A
101399,INFO 1100,Spring 2025,D
109701,INFO 2200,Fall 2024,D
108839,CSEC 2100,Fall 2024,B
107200,CSEC 2100,Fall 2024,B
109747,INFO 4300,Spring 2025,A
103978,CSEC 2100,Fall 2024,A
106740,CSEC 4110,Spring 2024,W
101985,INFO 2600,Fall 2023,A
100931,CSEC 4110,Spring 2025,B
104466,INFO 1100,Spring 2024,B
100485,INFO 4300,Spring 2025,A
108769,INFO 1100,Fall 2024,F
105235,CSEC 3220,Fall 2024,A
104724,CSEC 3220,Fall 2024,B
103113,INFO 1100,Fall 2024,A
105461,INFO 1100,Fall 2024,A
100209,INFO 1100,Spring 2024,A
103698,CSEC 3220,Fall 2024,A
100398,DSCI 3210,Fall 2023,C
103498,INFO 2200,Spring 2024,B
101384,INFO 2600,Spring 2025,D
107960,INFO 1100,Spring 2025,B
104124,INFO 1100,Spring 2024,F
103576,INFO 2600,Spring 2024,B
108140,CSEC 3220,Fall 2023,B
101504,CSEC 3220,Spring 2025,C
104997,ITEC 3010,Spring 2025,A
105952,INFO 1100,Spring 2025,A
105660,INFO 1100,Fall 2024,A
107697,INFO 1100,Fall 2023,C
103356,LTEC 2100,Spring 2024,B
107531,INFO 1100,Fall 2023,A
101523,INFO 3340,Spring 2025,B
105222,CSEC 2100,Spring 2025,B
101387,INFO 3600,Spring 2024,F
103232,INFO 1100,Spring 2025,B
104491,DSCI 3210,Fall 2024,A
105598,INFO 2600,Spring 2024,D
105279,INFO 1100,Spring 2025,F
102247,CSEC 2100,Fall 2023,D
101596,LTEC 3120,Fall 2024,F
104271,INFO 3600,Spring 2025,A
107058,CSEC 4110,Fall 2024,A
105080,DSCI 4160,Spring 2025,B
108749,CSEC 2100,Spring 2025,C
101873,INFO 2600,Fall 2024,A
102986,DSCI 3210,Spring 2024,C
102490,INFO 2200,Fall 2023,D
105866,INFO 4300,Spring 2024,C
107710,INFO 4300,Spring 2025,B
108641,CSEC 3220,Spring 2025,A
107954,INFO 2600,Spring 2024,B
103717,CSEC 2100,Spring 2024,A
105060,CSEC 4110,Spring 2024,A
106273,INFO 1100,Fall 2023,F
103898,CSEC 3220,Spring 2024,B
100866,INFO 1100,Fall 2024,C
105705,INFO 2200,Fall 2024,A
103586,DSCI 4160,Spring 2024,C
106625,INFO 2200,Fall 2024,A
102345,ITEC 2010,Spring 2024,C
107855,DSCI 3210,Fall 2024,W
107166,INFO 2200,Spring 2025,A
109291,INFO 3340,Fall 2024,A
102037,INFO 1100,Spring 2025,B
108219,INFO 1100,Spring 2025,C
101269,DSCI 4160,Fall 2023,A
103026,CSEC 2100,Spring 2025,B
109133,DSCI 3210,Fall 2023,A
109989,INFO 2200,Fall 2024,W
102536,DSCI 4160,Spring 2024,C
100015,INFO 2200,Spring 2025,A
106620,ITEC 3010,Spring 2024,F
104638,INFO 2200,Fall 2024,A
101026,INFO 1100,Fall 2023,C
102106,CSEC 2100,Fall 2023,B
101630,INFO 2200,Spring 2024,C
104133,INFO 2200,Fall 2024,A
102946,INFO 3340,Spring 2024,D
104766,INFO 3600,Spring 2025,A
102237,LTEC 2100,Fall 2023,B
105475,INFO 2200,Fall 2024,F
102801,CSEC 3220,Spring 2024,B
109550,INFO 2200,Fall 2023,A
101996,DSCI 3210,Fall 2023,B
101409,INFO 2200,Spring 2025,A
101356,INFO 2600,Spring 2025,D
109286,LTEC 2100,Fall 2023,C
100561,INFO 1100,Fall 2023,C
100244,INFO 1100,Fall 2024,A
102963,INFO 1100,Spring 2025,A
109466,INFO 2200,Spring 2024,A
107928,INFO 2200,Fall 2024,A
100478,DSCI 3210,Spring 2025,A
102080,BUAN 2010,Fall 2024,C
109307,CSEC 3220,Spring 2025,A
108339,INFO 1100,Fall 2024,C
106572,INFO 2200,Spring 2025,C
108836,DSCI 3210,Spring 2025,C
101730,CSEC 2100,Fall 2023,B
100847,INFO 2600,Spring 2024,D
101911,INFO 2200,Fall 2023,A
105164,LTEC 2100,Spring 2024,A
102829,CSEC 2100,Fall 2023,C
105982,INFO 2200,Spring 2025,C
102955,INFO 2200,Spring 2025,B
105922,INFO 1100,Fall 2024,A
101705,INFO 1100,Fall 2024,C
107455,CSEC 3220,Spring 2024,C
107341,CSEC 2100,Spring 2025,B
102938,INFO 2200,Spring 2025,C
103421,INFO 1100,Fall 2023,B
107159,BUAN 3310,Fall 2024,A
103356,LTEC 3120,Spring 2025,A
102297,CSEC 2100,Fall 2023,B
103290,DSCI 3210,Fall 2024,A
104408,CSEC 2100,Spring 2025,B
108800,DSCI 3210,Spring 2024,A
105572,INFO 1100,Fall 2023,A
103141,INFO 1100,Fall 2024,C
101515,INFO 1100,Spring 2024,B
109923,ITEC 3010,Spring 2025,D
100022,INFO 1100,Fall 2024,W
100955,INFO 1100,Spring 2025,W
103094,INFO 1100,Fall 2023,D
109481,INFO 3600,Spring 2025,C
102147,CSEC 2100,Fall 2023,D
102125,INFO 1100,Fall 2024,A
106711,ITEC 2010,Fall 2024,A
107697,CSEC 3220,Spring 2024,A
104365,LTEC 2100,Spring 2025,W
102873,ITEC 2010,Spring 2024,C
107267,CSEC 2100,Fall 2023,A
105944,INFO 1100,Fall 2023,A
101122,INFO 2200,Spring 2024,C
106734,INFO 3600,Fall 2024,C
106493,ITEC 2010,Spring 2024,A
108547,DSCI 3210,Spring 2025,B
100863,INFO 1100,Fall 2023,A
109891,INFO 1100,Fall 2024,B
100101,CSEC 3220,Fall 2023,B
100132,INFO 2200,Spring 2024,A
104271,INFO 2600,Fall 2023,C
108515,INFO 2600,Fall 2023,A
105046,BUAN 3310,Fall 2024,C
108037,INFO 3340,Spring 2024,A
103324,LTEC 3120,Fall 2024,A
109641,INFO 1100,Fall 2024,D
101504,INFO 2200,Fall 2024,B
101064,BUAN 3310,Fall 2023,A
105739,INFO 1100,Spring 2024,A
106629,INFO 4300,Fall 2024,B
100466,CSEC 3220,Fall 2024,A
106634,ITEC 3010,Spring 2025,B
103430,DSCI 3210,Fall 2024,B
105281,INFO 2200,Fall 2024,W
100173,INFO 4300,Spring 2024,B
104207,DSCI 3210,Spring 2025,A
102731,INFO 2200,Fall 2023,C
100253,BUAN 2010,Fall 2024,C
104056,INFO 3340,Fall 2023,B
106875,CSEC 4110,Fall 2024,C
102343,CSEC 4110,Spring 2025,C
101691,CSEC 4110,Spring 2025,C
108724,CSEC 2100,Fall 2023,A
100810,INFO 2200,Fall 2024,A
104830,INFO 2600,Fall 2024,B
105335,INFO 2600,Fall 2023,C
100366,INFO 1100,Spring 2025,C
103995,ITEC 3010,Fall 2024,B
104305,INFO 2200,Spring 2025,B
106493,ITEC 3010,Spring 2024,B
108877,INFO 2200,Fall 2024,D
104612,DSCI 3210,Fall 2024,B
105297,INFO 3340,Fall 2023,B
104511,BUAN 3310,Spring 2025,A
103550,CSEC 4110,Fall 2024,C
107862,INFO 1100,Fall 2024,C
108856,CSEC 4110,Spring 2024,A
108033,INFO 1100,Spring 2024,B
107893,CSEC 2100,Fall 2024,D
107433,INFO 2600,Fall 2023,A
103969,INFO 1100,Fall 2024,W
108262,INFO 2200,Spring 2025,C
105339,INFO 2600,Spring 2025,F
102365,DSCI 4160,Fall 2024,C
106940,CSEC 4110,Fall 2023,F
107875,DSCI 3210,Spring 2024,F
108074,INFO 1100,Spring 2025,D
104261,INFO 2600,Spring 2025,A
102154,INFO 1100,Fall 2024,C
107042,CSEC 3220,Spring 2024,B
102451,INFO 1100,Fall 2024,B
101591,CSEC 2100,Spring 2025,B
108141,INFO 2200,Spring 2024,C
108247,CSEC 2100,Spring 2024,A
108933,DSCI 3210,Fall 2024,A
105969,INFO 2600,Spring 2025,A
106784,ITEC 2010,Fall 2023,W
102559,INFO 3340,Spring 2024,C
100398,INFO 2200,Fall 2024,F
105603,BUAN 3310,Spring 2025,B
102698,CSEC 4110,Fall 2024,B
102434,ITEC 3010,Fall 2024,B
104269,INFO 2600,Spring 2024,A
108416,CSEC 3220,Spring 2025,A
105300,CSEC 2100,Fall 2023,A
104365,INFO 2600,Fall 2023,W
106920,CSEC 2100,Fall 2023,B
105572,INFO 2200,Fall 2023,B
103492,BUAN 2010,Fall 2023,B
107251,INFO 4300,Fall 2023,A
105442,ITEC 3010,Fall 2024,C
102327,BUAN 2010,Fall 2024,C
105275,INFO 2200,Fall 2023,F
108094,LTEC 3120,Fall 2024,C
109116,CSEC 3220,Fall 2023,B
108837,INFO 1100,Fall 2023,B
103928,CSEC 2100,Fall 2023,A
103828,INFO 3340,Fall 2023,B
108828,INFO 1100,Spring 2025,C
100852,INFO 2600,Fall 2024,C
108888,INFO 1100,Fall 2024,W
103715,INFO 4300,Fall 2023,C
104508,CSEC 2100,Fall 2023,F
108564,CSEC 3220,Fall 2023,B
103587,CSEC 4110,Spring 2024,C
100989,ITEC 3010,Spring 2025,B
102667,ITEC 2010,Spring 2024,B
108771,INFO 1100,Spring 2024,F
