student_id,major,age,housing,commute_miles,work_hours_per_week,advisor_meetings,credits_attempted,final_gpa,study_hours_reported,enrollment_date,dropped_out,housing_clean,minutes_active,study_z,gpa_band
105110,Learning Technologies,23,On-Campus,11.9,20,0,25,2.36,6.8,2023-10-24,0,On-Campus,2222,-0.9531734325409532,"(2.0, 3.0]"
103820,Learning Technologies,28,On-Campus,6.3,20,0,9,1.87,5.5,2022-11-05,0,On-Campus,1878,-1.2908635519736584,"(1.0, 2.0]"
109021,Data Science,22,Off-Campus,5.9,12,4,76,3.16,14.7,2022-11-14,0,Off-Campus,3345,1.0989434470885637,"(3.0, 4.0]"
109466,Cybersecurity,25,with family,2.9,30,2,43,1.67,4.4,2023-09-05,0,With Family,1208,-1.5766013453397936,"(1.0, 2.0]"
104783,Learning Technologies,21,On-Campus,2.2,12,4,51,2.98,18.7,2022-11-20,0,On-Campus,5046,2.137989968419965,"(2.0, 3.0]"
105414,Info Technology,24,Off-Campus,9.2,0,3,50,3.11,17.2,2023-09-26,0,Off-Campus,4901,1.7483475229206893,"(3.0, 4.0]"
109845,Learning Technologies,24,Off-Campus,20.3,18,0,91,2.43,12.0,2022-11-18,0,Off-Campus,4178,0.39758704518986815,"(2.0, 3.0]"
102146,DataScience,25,With Family,17.2,20,2,49,1.68,12.6,2024-03-16,0,With Family,2605,0.5534440233895782,"(1.0, 2.0]"
104269,Learning Technologies,30,Off-Campus,22.4,28,1,72,1.64,7.6,2024-05-02,1,Off-Campus,2236,-0.745364128274673,"(1.0, 2.0]"
101053,Information Technology,32,Off-Campus,9.3,30,1,76,1.92,6.4,2023-12-06,0,Off-Campus,2508,-1.0570780846740933,"(1.0, 2.0]"
108633,Cybersecurity,26,With Family,14.8,30,1,81,2.83,15.1,2022-09-16,0,With Family,4351,1.2028480992217039,"(2.0, 3.0]"
101025,Business Analytics,26,On-Campus,1.7,18,2,53,2.79,10.9,2023-08-28,1,On-Campus,3726,0.11184925182373295,"(2.0, 3.0]"
108608,Business Analytics,22,Off-Campus,4.0,35,3,37,2.13,8.4,2024-05-04,1,Off-Campus,2880,-0.5375548240083927,"(2.0, 3.0]"
108643,Data Science,34,Off-Campus,6.7,5,1,74,2.13,,2023-12-16,0,Off-Campus,2129,,"(2.0, 3.0]"
100953,Business Analytics,23,Off-Campus,12.1,15,4,73,1.95,8.8,2023-09-20,0,Off-Campus,2271,-0.43365017187525245,"(1.0, 2.0]"
109264,Cybersecurity,22,On-Campus,14.6,35,2,32,2.56,13.4,2022-09-16,0,On-Campus,3906,0.7612533276558586,"(2.0, 3.0]"
107711,Information Technology,26,With Family,42.4,20,0,47,1.64,2.6,2023-09-07,0,With Family,1915,-2.044172279938924,"(1.0, 2.0]"
106213,Cybersecurity,22,With Family,22.2,25,0,29,1.18,1.8,2022-10-29,1,With Family,1112,-2.2519815842052044,"(1.0, 2.0]"
108451,Cybersecurity,25,Off-Campus,6.0,20,3,70,1.12,6.1,2022-09-22,0,Off-Campus,2348,-1.1350065737739485,"(1.0, 2.0]"
108767,Information Science,23,Off-Campus,9.7,0,3,79,2.96,9.4,2022-12-08,1,Off-Campus,3948,-0.27779319367554245,"(2.0, 3.0]"
108061,Cybersecurity,29,off campus,5.6,30,2,34,2.36,13.4,2022-11-06,0,Off-Campus,3860,0.7612533276558586,"(2.0, 3.0]"
109501,Cybersecurity,21,off campus,14.6,0,3,28,2.88,16.2,2024-05-18,0,Off-Campus,4451,1.488585892587839,"(2.0, 3.0]"
107060,Information Science,20,On-Campus,9.6,0,2,64,2.13,,2024-02-02,0,On-Campus,3624,,"(2.0, 3.0]"
108564,Cybersecurity,26,With Family,6.9,10,1,55,3.08,17.4,2023-11-27,0,With Family,4255,1.800299848987259,"(3.0, 4.0]"
106890,Information Science,30,Off-Campus,14.1,5,2,0,0.0,11.2,2025-01-21,0,Off-Campus,3942,0.18977774092358776,"(-0.01, 1.0]"
104945,Data Science,27,On-Campus,4.2,0,1,0,1.45,4.9,2022-09-21,0,On-Campus,2758,-1.4467205301733685,"(1.0, 2.0]"
102436,Learning Technologies,27,On-Campus,21.2,18,1,74,2.64,9.0,2022-10-17,0,On-Campus,3228,-0.3816978458086826,"(2.0, 3.0]"
109740,Data Science,23,Off-Campus,25.7,0,1,56,2.35,10.1,2022-08-25,0,Off-Campus,3055,-0.09596005244254743,"(2.0, 3.0]"
105355,Business Analytics,25,Off-Campus,21.3,28,0,79,1.65,,2023-11-14,0,Off-Campus,1685,,"(1.0, 2.0]"
101292,Data Science,29,Off-Campus,28.2,10,4,91,1.77,1.6,2023-12-07,0,Off-Campus,1772,-2.3039339102717746,"(1.0, 2.0]"
106152,Business Analytics,25,With Family,10.5,20,2,29,2.14,11.4,2022-12-06,1,With Family,3239,0.2417300669901581,"(2.0, 3.0]"
103619,Business Analytics,28,Off-Campus,13.1,18,5,71,1.77,7.6,2024-02-17,0,Off-Campus,2717,-0.745364128274673,"(1.0, 2.0]"
100905,Cybersecurity,22,Off-Campus,17.4,30,3,128,2.32,12.0,2024-03-30,1,Off-Campus,2800,0.39758704518986815,"(2.0, 3.0]"
108004,Business Analytics,30,on-campus,14.0,20,1,51,2.79,10.9,2022-12-04,0,On-Campus,3485,0.11184925182373295,"(2.0, 3.0]"
103836,Cyber Security,26,off campus,4.6,18,5,77,2.6,16.8,2022-08-26,0,Off-Campus,4725,1.6444428707875496,"(2.0, 3.0]"
101928,Data Science,31,Off-Campus,6.8,35,1,0,1.38,6.5,2023-09-26,0,Off-Campus,2452,-1.0311019216408082,"(1.0, 2.0]"
101479,Information Technology,24,Off-Campus,3.0,10,1,46,2.25,,2024-03-13,0,Off-Campus,3786,,"(2.0, 3.0]"
108130,Data Science,26,Off-Campus,8.4,25,0,64,2.22,10.0,2024-02-14,0,Off-Campus,3427,-0.12193621547583236,"(2.0, 3.0]"
104529,Cybersecurity,22,Off-campus,12.9,18,1,74,2.45,10.2,2023-11-12,0,Off-Campus,3122,-0.06998388940926249,"(2.0, 3.0]"
103330,Information Technology,27,Off-Campus,1.7,15,0,28,3.47,,2022-10-01,1,Off-Campus,4599,,"(3.0, 4.0]"
104053,Information Science,26,On-Campus,7.5,15,2,39,1.37,,2022-09-05,1,On-Campus,1654,,"(1.0, 2.0]"
104763,Cyber Security,21,With Family,8.4,30,2,65,2.29,9.6,2022-12-03,0,With Family,3561,-0.22584086760897257,"(2.0, 3.0]"
107891,Data Science,32,off campus,6.8,40,1,54,2.51,14.1,2023-10-13,0,Off-Campus,3961,0.9430864688888536,"(2.0, 3.0]"
103586,Data Science,21,With Family,34.5,12,1,121,1.84,3.2,2022-10-01,0,With Family,2525,-1.888315301739214,"(1.0, 2.0]"
107455,Cybersecurity,23,off campus,28.3,18,1,90,1.54,5.6,2022-09-01,0,Off-Campus,1949,-1.2648873889403736,"(1.0, 2.0]"
104877,Business Analytics,23,Off-Campus,11.1,15,1,13,2.12,10.3,2024-02-11,0,Off-Campus,2962,-0.04400772637597711,"(2.0, 3.0]"
106795,Business Analytics,24,Off-Campus,21.1,20,0,63,1.29,,2023-12-18,1,Off-Campus,1153,,"(1.0, 2.0]"
104889,Learning Technologies,21,With Family,6.7,20,2,65,1.97,7.4,2022-08-23,0,With Family,2869,-0.7973164543412429,"(1.0, 2.0]"
104621,Information  Science,22,Off-Campus,15.5,28,2,19,1.41,3.0,2022-12-15,0,Off-Campus,2008,-1.9402676278057842,"(1.0, 2.0]"
108334,Data Science,22,with family,11.9,20,0,77,1.57,8.5,2023-08-30,1,With Family,2124,-0.5115786609751077,"(1.0, 2.0]"
104676,Information Science,25,Off-Campus,2.3,15,5,63,2.25,12.9,2023-10-18,1,Off-Campus,3806,0.6313725124894335,"(2.0, 3.0]"
103390,Business Analytics,24,With Family,20.8,25,4,62,2.13,6.3,2023-11-02,0,With Family,3338,-1.0830542477073783,"(2.0, 3.0]"
105693,Cyber Security,23, On-Campus,13.6,18,7,43,2.59,12.6,2023-09-05,0,On-Campus,3671,0.5534440233895782,"(2.0, 3.0]"
102077,Business Analytics,24,Off-Campus,1.2,30,5,23,1.82,6.4,2022-10-24,0,Off-Campus,2478,-1.0570780846740933,"(1.0, 2.0]"
104583,Information Science,27,With Family,10.8,25,1,12,2.1,11.3,2024-04-20,1,With Family,3152,0.21575390395687313,"(2.0, 3.0]"
102683,Business Analytics,23,Off-Campus,39.9,0,2,71,2.57,9.4,2024-02-03,0,Off-Campus,3303,-0.27779319367554245,"(2.0, 3.0]"
106940,Cybersecurity,26,With Family,22.6,35,5,73,2.11,6.5,2023-09-29,0,With Family,2002,-1.0311019216408082,"(2.0, 3.0]"
106854,Business Analytics,27,On-Campus,9.3,0,9,84,2.08,13.8,2023-09-06,0,On-Campus,3846,0.8651579797889988,"(2.0, 3.0]"
105645,Information Technology,29,With Family,24.7,15,1,62,2.7,11.1,2022-12-05,1,With Family,4243,0.1638015778903028,"(2.0, 3.0]"
109747,Learning Technologies,19,Off-Campus,7.3,5,5,70,2.3,,2023-10-28,0,Off-Campus,3783,,"(2.0, 3.0]"
108800,Business Analytics,26,On-Campus,2.0,5,3,46,2.91,13.8,2022-11-16,0,On-Campus,4665,0.8651579797889988,"(2.0, 3.0]"
100365,Info Technology,23,On-Campus,27.7,15,4,51,1.97,8.8,2022-12-02,1,On-Campus,2341,-0.43365017187525245,"(1.0, 2.0]"
109436,Cybersecurity,24,off campus,12.1,35,3,20,2.28,10.5,2022-09-25,0,Off-Campus,3021,0.00794459969059276,"(2.0, 3.0]"
104789,Cybersecurity,22,On-Campus,18.0,40,4,61,2.28,6.1,2023-12-14,0,On-Campus,3353,-1.1350065737739485,"(2.0, 3.0]"
102955,Information Science,22,Off-Campus,1.3,12,2,97,2.43,7.1,2023-11-24,1,Off-Campus,3129,-0.8752449434410982,"(2.0, 3.0]"
103342,Information Science,26,Off-Campus,13.5,20,3,80,2.54,,2024-04-23,0,Off-Campus,3563,,"(2.0, 3.0]"
105476,Cybersecurity,23,Off-Campus,7.8,28,1,2,2.07,16.6,2023-10-20,0,Off-Campus,4020,1.5924905447209796,"(2.0, 3.0]"
103898,Cybersecurity,30,On-Campus,8.4,20,2,2,3.07,8.3,2024-03-11,0,On-Campus,4420,-0.5635309870416776,"(3.0, 4.0]"
104883,Cyber Security,29,Off-Campus,7.8,18,3,42,2.63,12.6,2023-09-07,1,Off-Campus,4023,0.5534440233895782,"(2.0, 3.0]"
107154,Cybersecurity,21,on-campus,4.4,15,2,23,2.78,11.6,2023-11-04,0,On-Campus,4401,0.29368239305672794,"(2.0, 3.0]"
108560,Business Analytics,25,Off-campus,15.5,35,2,39,0.95,6.2,2024-04-07,0,Off-Campus,1929,-1.1090304107406632,"(-0.01, 1.0]"
103069,Data Science,23,On-Campus,3.2,15,6,70,2.26,,2022-08-29,1,On-Campus,2536,,"(2.0, 3.0]"
106129,Business Analytics,27,Off-campus,11.2,15,6,82,3.19,10.9,2024-04-21,0,Off-Campus,4272,0.11184925182373295,"(3.0, 4.0]"
100133,Information Technology,22,With Family,23.2,40,3,66,1.53,6.6,2023-10-14,0,With Family,1818,-1.0051257586075233,"(1.0, 2.0]"
109871,Data Science,24,On-Campus,8.1,18,1,17,1.25,3.4,2022-12-01,1,On-Campus,2289,-1.8363629756726438,"(1.0, 2.0]"
100485,Learning Technologies,26,on-campus,12.5,18,6,10,3.26,13.6,2023-10-20,0,On-Campus,4211,0.8132056537224285,"(3.0, 4.0]"
106041,Cybersecurity,26,with family,12.9,20,6,54,3.0,10.5,2024-05-22,0,With Family,3778,0.00794459969059276,"(2.0, 3.0]"
102530,Cybersecurity,32,Off-campus,5.9,15,0,0,0.0,15.1,2025-01-21,0,Off-Campus,5240,1.2028480992217039,"(-0.01, 1.0]"
109164,Cybersecurity,23,With Family,10.2,5,2,64,2.88,7.2,2022-12-07,0,With Family,3512,-0.8492687804078131,"(2.0, 3.0]"
104597,Cybersecurity,30,With Family,4.4,10,2,52,2.32,4.8,2023-09-18,0,With Family,2675,-1.4726966932066536,"(2.0, 3.0]"
108724,Cybersecurity,34,Off-campus,13.8,18,0,23,2.88,16.4,2023-11-05,0,Off-Campus,3712,1.5405382186544088,"(2.0, 3.0]"
105970,Cybersecurity,26,On-Campus,10.7,20,1,82,1.84,5.8,2024-04-01,0,On-Campus,2679,-1.2129350628738034,"(1.0, 2.0]"
104915,Cybersecurity,22,On-Campus,16.8,10,3,11,0.39,,2022-08-29,0,On-Campus,1083,,"(-0.01, 1.0]"
108281,Info Technology,23,Off-Campus,4.9,30,3,20,2.32,,2022-11-03,0,Off-Campus,2346,,"(2.0, 3.0]"
106505,Information Technology,25,On-Campus,13.6,25,1,60,2.24,,2023-10-07,0,On-Campus,1961,,"(2.0, 3.0]"
109852,Learning Technologies,25,Off-Campus,24.1,20,5,74,2.66,13.9,2022-10-08,0,Off-Campus,2737,0.8911341428222836,"(2.0, 3.0]"
108269,Data Science,27,Off-Campus,9.9,10,3,0,0.0,10.6,2025-01-15,0,Off-Campus,3616,0.033920762723877694,"(-0.01, 1.0]"
109291,Data Science,29,Off-Campus,2.5,35,1,16,1.88,6.1,2023-10-31,0,Off-Campus,2320,-1.1350065737739485,"(1.0, 2.0]"
108143,Learning Technologies,25,On-Campus,38.2,15,1,21,1.87,6.9,2022-09-04,0,On-Campus,2564,-0.927197269507668,"(1.0, 2.0]"
107832,Business Analytics,23,On-Campus,46.7,0,0,40,1.95,4.6,2023-11-30,0,On-Campus,2515,-1.5246490192732238,"(1.0, 2.0]"
106983,DataScience,26,Off-Campus,1.1,40,3,86,2.38,5.8,2024-02-28,1,Off-Campus,2603,-1.2129350628738034,"(2.0, 3.0]"
106572,Information Science,28,Off-Campus,1.7,20,1,5,2.11,15.6,2022-11-01,0,Off-Campus,3958,1.332728914388129,"(2.0, 3.0]"
105988,Cybersecurity,26,Off-Campus,8.7,0,5,54,3.08,15.4,2024-02-11,0,Off-Campus,5083,1.2807765883215592,"(3.0, 4.0]"
109161,Information Science,21,Off-Campus,4.3,0,9,103,1.98,11.1,2022-11-19,0,Off-Campus,2490,0.1638015778903028,"(1.0, 2.0]"
100135,Cybersecurity,20,on-campus,8.7,10,4,85,2.89,14.0,2024-02-24,0,On-Campus,3764,0.9171103058555686,"(2.0, 3.0]"
105568,Cybersecurity,24,Off-Campus,17.2,18,0,0,2.22,6.9,2022-12-16,0,Off-Campus,2824,-0.927197269507668,"(2.0, 3.0]"
104072,Cybersecurity,28,On-Campus,26.7,25,1,22,1.34,,2024-05-16,1,On-Campus,980,,"(1.0, 2.0]"
103001,Information Science,24,Off-Campus,7.9,20,1,38,2.09,7.9,2024-05-03,0,Off-Campus,2170,-0.6674356391748179,"(2.0, 3.0]"
109593,Cybersecurity,30,off campus,5.6,0,0,54,1.93,,2022-11-09,0,Off-Campus,2031,,"(1.0, 2.0]"
104612,Data Science,21, On-Campus,4.5,12,0,39,2.77,10.6,2024-04-21,0,On-Campus,3335,0.033920762723877694,"(2.0, 3.0]"
103298,Cybersecurity,28,Off-Campus,5.7,25,2,82,1.97,8.3,2022-11-30,0,Off-Campus,2347,-0.5635309870416776,"(1.0, 2.0]"
103717,Cybersecurity,26,Off-Campus,4.3,0,3,12,2.3,5.8,2022-12-12,0,Off-Campus,3120,-1.2129350628738034,"(2.0, 3.0]"
104639,Information Technology,26,With Family,0.2,20,0,28,3.19,14.8,2022-09-02,1,With Family,4256,1.124919610121849,"(3.0, 4.0]"
106855,Cybersecurity,28,Off-Campus,13.2,30,6,100,2.34,15.1,2023-10-26,1,Off-Campus,3705,1.2028480992217039,"(2.0, 3.0]"
104020,Data Science,22,off campus,9.5,10,7,69,2.97,16.6,2022-10-29,0,Off-Campus,4526,1.5924905447209796,"(2.0, 3.0]"
104222,Learning Technologies,21,Off-Campus,29.1,5,4,19,2.47,12.6,2024-02-05,0,Off-Campus,3236,0.5534440233895782,"(2.0, 3.0]"
101226,Data Science,25,Off-Campus,3.3,15,2,0,2.03,7.7,2023-11-04,1,Off-Campus,3102,-0.7193879652413879,"(2.0, 3.0]"
102859,Learning Technologies,24,Off-Campus,19.5,10,0,0,2.98,13.5,2024-04-20,0,Off-Campus,3726,0.7872294906891435,"(2.0, 3.0]"
103058,Information Science,24,With Family,8.8,5,1,75,2.13,8.8,2023-11-12,0,With Family,3581,-0.43365017187525245,"(2.0, 3.0]"
103727,Information  Science,23,Off-Campus,0.7,0,2,43,2.99,8.2,2022-08-24,0,Off-Campus,3802,-0.589507150074963,"(2.0, 3.0]"
102726,Learning Technologies,23,Off-Campus,23.1,28,1,45,2.13,10.1,2022-10-08,0,Off-Campus,2557,-0.09596005244254743,"(2.0, 3.0]"
105401,Learning Technologies,25,On-Campus,3.7,10,1,59,2.28,,2022-10-23,0,On-Campus,1948,,"(2.0, 3.0]"
101568,Learning Technologies,20,With Family,27.0,20,0,94,1.2,6.1,2024-04-30,0,With Family,1720,-1.1350065737739485,"(1.0, 2.0]"
106608,Cybersecurity,27,Off-Campus,8.1,25,8,17,2.09,8.6,2023-11-27,0,Off-Campus,3504,-0.4856024979418228,"(2.0, 3.0]"
101988,Cybersecurity,20,On-Campus,8.8,0,2,0,0.0,2.7,2025-01-13,0,On-Campus,1980,-2.018196116905639,"(-0.01, 1.0]"
102237,Learning Technologies,23,Off-Campus,51.3,12,5,90,2.63,10.1,2024-03-01,0,Off-Campus,3687,-0.09596005244254743,"(2.0, 3.0]"
103204,Data Science,24,Off-Campus,4.3,28,1,22,0.85,,2022-11-16,0,Off-Campus,1153,,"(-0.01, 1.0]"
106998,Learning Technologies,21,With Family,11.2,0,0,0,3.26,16.9,2023-09-15,0,With Family,4917,1.670419033820834,"(3.0, 4.0]"
100492,Business Analytics,31,With Family,15.3,30,2,37,1.61,9.2,2023-08-22,1,With Family,2265,-0.32974551974211275,"(1.0, 2.0]"
102024,Cybersecurity,20,On-Campus,28.1,30,2,57,1.76,6.2,2022-10-19,0,On-Campus,2002,-1.1090304107406632,"(1.0, 2.0]"
106478,Business Analytics,28,With Family,1.4,20,1,83,1.29,3.2,2022-08-24,1,With Family,692,-1.888315301739214,"(1.0, 2.0]"
104860,Data Science,29,On-Campus,2.9,28,5,85,2.88,12.0,2022-09-14,0,On-Campus,4554,0.39758704518986815,"(2.0, 3.0]"
103275,Learning Technologies,24,With Family,38.5,15,4,65,2.41,8.3,2024-02-08,0,With Family,3172,-0.5635309870416776,"(2.0, 3.0]"
104766,Information Science,28,On-Campus,8.5,5,3,32,3.42,16.7,2023-11-11,0,On-Campus,4768,1.618466707754264,"(3.0, 4.0]"
106496,Cybersecurity,22,Off-Campus,5.8,40,5,51,2.62,15.0,2024-03-26,0,Off-Campus,4520,1.1768719361884188,"(2.0, 3.0]"
105750,Business Analytics,26,With Family,2.4,30,5,65,2.88,15.9,2022-08-29,0,With Family,4325,1.4106574034879842,"(2.0, 3.0]"
107644,Data Science,28,on-campus,10.0,10,5,43,3.49,19.0,2022-11-06,0,On-Campus,5199,2.21591845751982,"(3.0, 4.0]"
106027,Information Technology,19,Off-Campus,2.0,28,4,46,2.78,17.3,2023-11-30,0,Off-Campus,4487,1.7743236859539746,"(2.0, 3.0]"
102961,Business Analytics,24,Off-Campus,7.1,35,0,3,2.5,,2023-10-07,0,Off-Campus,2959,,"(2.0, 3.0]"
101150,Business Analytics,24,on-campus,30.2,30,3,53,1.38,7.4,2022-12-07,0,On-Campus,2700,-0.7973164543412429,"(1.0, 2.0]"
105090,Cybersecurity,22,Off-Campus,2.8,0,5,42,3.09,12.6,2023-11-05,0,Off-Campus,4256,0.5534440233895782,"(3.0, 4.0]"
103905,Data Science,29,On-Campus,8.8,18,2,73,3.66,11.5,2022-10-24,0,On-Campus,4440,0.267706230023443,"(3.0, 4.0]"
