student_id,week,lms_clicks,minutes_active
NU-103050,15,266,148
NU-103050,16,402,209
NU-105105,1,328,273
NU-105105,2,399,187
NU-105105,3,220,115
NU-105105,4,384,215
NU-105105,5,196,125
NU-105105,6,227,166
NU-105105,7,252,167
NU-105105,8,125,65
NU-105105,9,132,74
NU-105105,10,316,193
NU-105105,11,317,180
NU-105105,12,327,187
NU-105105,13,284,211
NU-105105,14,221,148
NU-105105,15,382,223
NU-105105,16,157,111
NU-102873,1,235,200
NU-102873,2,292,211
NU-102873,3,314,234
NU-102873,4,246,154
NU-102873,5,251,163
NU-102873,6,545,323
NU-102873,7,219,101
NU-102873,8,320,211
NU-102873,9,87,61
NU-102873,10,295,192
NU-102873,11,227,184
NU-102873,12,357,253
NU-102873,13,277,170
NU-102873,14,366,178
NU-102873,15,276,221
NU-102873,16,207,130
NU-104724,1,358,216
NU-104724,2,268,218
NU-104724,3,329,208
NU-104724,4,375,211
NU-104724,5,270,198
NU-104724,6,377,182
NU-104724,7,404,245
NU-104724,8,158,209
NU-104724,9,144,83
NU-104724,10,305,157
NU-104724,11,180,148
NU-104724,12,275,212
NU-104724,13,261,188
NU-104724,14,279,190
NU-104724,15,180,157
NU-104724,16,327,190
NU-106689,1,294,181
NU-106689,2,332,157
NU-106689,3,144,103
NU-106689,4,187,153
NU-106689,5,143,133
NU-106689,6,163,106
NU-106689,7,155,82
NU-106689,8,213,118
NU-106689,9,92,60
NU-106689,10,248,191
NU-106689,11,352,183
NU-106689,12,186,100
NU-106689,13,188,110
NU-106689,14,180,128
NU-106689,15,253,157
NU-106689,16,149,103
NU-108191,1,341,246
NU-108191,2,492,253
NU-108191,3,502,233
NU-108191,4,383,251
NU-108191,5,314,207
NU-108191,6,498,234
NU-108191,7,416,266
NU-108191,8,506,330
NU-108191,9,134,92
NU-108191,10,408,340
NU-108191,11,425,271
NU-108191,12,501,268
NU-108191,13,369,253
NU-108191,14,311,230
NU-108191,15,420,243
NU-108191,16,461,255
NU-100631,1,143,106
NU-100631,2,287,189
NU-100631,3,277,168
NU-100631,4,326,160
NU-100631,5,130,158
NU-100631,6,273,189
NU-100631,7,416,210
NU-100631,8,292,217
NU-100631,9,178,93
NU-100631,10,201,168
NU-100631,11,179,134
NU-100631,12,156,128
NU-100631,13,409,222
NU-100631,14,289,173
NU-100631,15,347,221
NU-100631,16,204,181
NU-104766,1,518,289
NU-104766,2,527,309
NU-104766,3,675,324
NU-104766,4,506,303
NU-104766,5,732,414
NU-104766,6,359,318
NU-104766,7,605,289
NU-104766,8,491,350
NU-104766,9,185,133
NU-104766,10,300,241
NU-104766,11,498,274
NU-104766,12,552,299
NU-104766,13,319,277
NU-104766,14,505,303
NU-104766,15,475,324
NU-104766,16,329,321
NU-106986,1,553,288
NU-106986,2,523,349
NU-106986,3,627,355
NU-106986,4,480,289
NU-106986,5,589,310
NU-106986,6,163,261
NU-106986,7,508,360
NU-106986,8,600,359
NU-106986,9,286,133
NU-106986,10,497,351
NU-106986,11,616,355
NU-106986,12,405,289
NU-106986,13,437,367
NU-106986,14,418,255
NU-106986,15,505,344
NU-106986,16,456,370
NU-108997,1,334,244
NU-108997,2,699,310
NU-108997,3,432,303
NU-108997,4,329,233
NU-108997,5,485,293
NU-108997,6,583,354
NU-108997,7,439,274
NU-108997,8,282,212
NU-108997,9,235,101
NU-108997,10,508,301
NU-108997,11,326,236
NU-108997,12,394,280
NU-108997,13,416,268
NU-108997,14,461,264
NU-108997,15,436,244
NU-108997,16,454,339
NU-108888,1,499,322
NU-108888,2,539,341
NU-108888,3,253,251
NU-108888,4,554,334
NU-108888,5,460,333
NU-108888,6,602,317
NU-108888,7,438,345
NU-108888,8,634,321
NU-108888,9,239,141
NU-108888,10,517,287
NU-108888,11,511,322
NU-108888,12,674,360
NU-108888,13,604,342
NU-108888,14,534,333
NU-108888,15,409,259
NU-108888,16,622,370
NU-101511,1,300,182
NU-101511,2,309,229
NU-101511,3,282,183
NU-101511,4,454,205
NU-101511,5,149,97
NU-101511,6,180,192
NU-101511,7,347,309
NU-101511,8,382,224
NU-101511,9,169,82
NU-101511,10,234,137
NU-101511,11,182,132
NU-101511,12,356,243
NU-101511,13,320,259
NU-101511,14,345,198
NU-101511,15,373,200
NU-101511,16,235,276
NU-108020,1,322,172
NU-108020,2,236,131
NU-108020,3,412,263
NU-108020,4,285,194
NU-108020,5,263,182
NU-108020,6,281,185
NU-108020,7,342,211
NU-108020,8,210,233
NU-108020,9,192,108
NU-108020,10,181,139
NU-108020,11,203,271
NU-108020,12,325,201
NU-108020,13,167,112
NU-108020,14,215,137
NU-108020,15,364,212
NU-108020,16,373,210
NU-101903,1,668,359
NU-101903,2,556,365
NU-101903,3,674,355
NU-101903,4,456,308
NU-101903,5,472,313
NU-101903,6,544,377
NU-101903,7,349,314
NU-101903,8,644,403
NU-101903,9,186,142
NU-101903,10,573,347
NU-101903,11,701,363
NU-101903,12,505,338
NU-101903,13,726,367
NU-101903,14,614,313
NU-101903,15,497,405
NU-101903,16,948,396
NU-109838,1,182,125
NU-109838,2,386,237
NU-109838,3,371,255
NU-109838,4,336,172
NU-109838,5,293,189
NU-109838,6,202,146
NU-109838,7,227,206
NU-109838,8,280,183
NU-109838,9,97,71
NU-109838,10,228,183
NU-109838,11,216,142
NU-109838,12,302,223
NU-109838,13,126,67
NU-109838,14,172,102
NU-109838,15,173,135
NU-109838,16,321,215
NU-105580,1,299,145
NU-105580,2,143,119
NU-105580,3,263,173
NU-105580,4,299,154
NU-105580,5,221,129
NU-105580,6,319,184
NU-105580,7,281,174
NU-105580,8,347,231
NU-105580,9,133,97
NU-105580,10,225,135
NU-105580,11,272,178
NU-105580,12,351,184
NU-105580,13,168,119
NU-105580,14,433,213
NU-105580,15,242,157
NU-105580,16,297,195
NU-104352,1,359,197
NU-104352,2,340,185
NU-104352,3,378,194
NU-104352,4,382,236
NU-104352,5,384,241
NU-104352,6,270,175
NU-104352,7,438,202
NU-104352,8,426,282
NU-104352,9,215,97
NU-104352,10,400,235
NU-104352,11,283,217
NU-104352,12,443,226
NU-104352,13,338,161
NU-104352,14,515,270
NU-104352,15,392,267
NU-104352,16,417,201
NU-101317,1,346,169
NU-101317,2,300,201
NU-101317,3,226,229
NU-101317,4,235,162
NU-101317,5,210,138
NU-101317,6,450,229
NU-101317,7,199,121
NU-101317,8,186,140
NU-101317,9,112,64
NU-101317,10,402,223
NU-101317,11,290,179
NU-101317,12,260,186
NU-101317,13,232,169
NU-101317,14,479,192
NU-101317,15,295,209
NU-101317,16,171,146
NU-108560,1,161,119
NU-108560,2,182,106
NU-108560,3,108,82
NU-108560,4,269,170
NU-108560,5,321,196
NU-108560,6,253,119
NU-108560,7,188,98
NU-108560,8,290,165
NU-108560,9,87,71
NU-108560,10,243,153
NU-108560,11,151,92
NU-108560,12,212,129
NU-108560,13,244,152
NU-108560,14,224,123
NU-108560,15,64,35
NU-108560,16,146,119
NU-102024,1,218,120
NU-102024,2,252,125
NU-102024,3,253,163
NU-102024,4,142,77
NU-102024,5,179,105
NU-102024,6,208,131
NU-102024,7,215,134
NU-102024,8,264,175
NU-102024,9,97,51
NU-102024,10,207,139
NU-102024,11,181,115
NU-102024,12,110,65
NU-102024,13,228,185
NU-102024,14,406,203
NU-102024,15,195,105
NU-102024,16,174,109
NU-103803,1,256,202
NU-103803,2,282,156
NU-103803,3,246,134
NU-103803,4,297,157
NU-103803,5,211,138
NU-103803,6,270,174
NU-103803,7,88,65
NU-103803,8,240,132
NU-103803,9,42,39
NU-103803,10,294,174
NU-103803,11,329,219
NU-103803,12,267,159
NU-103803,13,156,106
NU-103803,14,334,160
NU-103803,15,155,109
NU-103803,16,142,151
NU-109442,1,383,288
NU-109442,2,517,277
NU-109442,3,341,245
NU-109442,4,397,266
NU-109442,5,292,255
NU-109442,6,334,297
NU-109442,7,312,242
NU-109442,8,436,219
NU-109442,9,279,117
NU-109442,10,396,219
NU-109442,11,362,184
NU-109442,12,478,264
NU-109442,13,396,240
NU-109442,14,507,269
NU-109442,15,440,263
NU-109442,16,464,332
NU-106213,1,80,46
NU-106213,2,154,90
NU-106213,3,118,89
NU-106213,4,140,99
NU-106213,5,104,59
NU-106213,6,93,46
NU-106213,7,121,65
NU-106213,8,129,119
NU-106213,9,42,27
NU-106213,10,147,82
NU-106213,11,31,18
NU-106213,12,77,70
NU-106213,13,61,40
NU-106213,14,125,65
NU-106213,15,200,130
NU-106213,16,112,67
NU-101004,1,269,264
NU-101004,2,477,243
NU-101004,3,361,227
NU-101004,4,322,243
NU-101004,5,487,261
NU-101004,6,389,277
NU-101004,7,307,231
NU-101004,8,484,288
NU-101004,9,182,116
NU-101004,10,346,252
NU-101004,11,347,254
NU-101004,12,348,208
NU-101004,13,296,235
NU-101004,14,398,241
NU-101004,15,421,239
NU-101004,16,466,258
NU-106265,1,253,226
NU-106265,2,319,221
NU-106265,3,577,295
NU-106265,4,278,179
NU-106265,5,558,266
NU-106265,6,386,229
NU-106265,7,193,228
NU-106265,8,560,321
NU-106265,9,151,128
NU-106265,10,495,285
NU-106265,11,392,285
NU-106265,12,449,221
NU-106265,13,298,259
NU-106265,14,442,286
NU-106265,15,268,185
NU-106265,16,435,234
NU-107710,1,106,79
NU-107710,2,152,66
NU-107710,3,149,79
NU-107710,4,199,138
NU-107710,5,110,57
NU-107710,6,232,155
NU-107710,7,156,119
NU-107710,8,169,122
NU-107710,9,104,72
NU-107710,10,220,137
NU-107710,11,57,34
NU-107710,12,196,114
NU-107710,13,196,115
NU-107710,14,275,142
NU-107710,15,160,137
NU-107710,16,239,157
NU-101624,1,431,220
NU-101624,2,476,225
NU-101624,3,381,215
NU-101624,4,531,257
NU-101624,5,350,247
NU-101624,6,333,229
NU-101624,7,445,260
NU-101624,8,351,211
NU-101624,9,150,98
NU-101624,10,472,261
NU-101624,11,328,227
NU-101624,12,319,183
NU-101624,13,559,250
NU-101624,14,255,161
NU-101624,15,241,208
NU-101624,16,404,246
NU-103072,1,325,245
NU-103072,2,486,253
NU-103072,3,487,278
NU-103072,4,287,287
NU-103072,5,265,193
NU-103072,6,498,241
NU-103072,7,339,189
NU-103072,8,317,211
NU-103072,9,191,123
NU-103072,10,348,228
NU-103072,11,358,267
NU-103072,12,258,177
NU-103072,13,263,193
NU-103072,14,361,197
NU-103072,15,444,230
NU-103072,16,407,251
NU-100899,1,449,298
NU-100899,2,514,289
NU-100899,3,287,151
NU-100899,4,320,256
NU-100899,5,450,274
NU-100899,6,311,274
NU-100899,7,330,220
NU-100899,8,376,236
NU-100899,9,239,133
NU-100899,10,415,248
NU-100899,11,341,259
NU-100899,12,358,262
NU-100899,13,337,210
NU-100899,14,284,227
NU-100899,15,350,297
NU-100899,16,501,263
NU-107960,1,302,184
NU-107960,2,292,229
NU-107960,3,336,252
NU-107960,4,279,163
NU-107960,5,225,156
NU-107960,6,382,218
NU-107960,7,251,152
NU-107960,8,306,201
NU-107960,9,65,28
NU-107960,10,426,244
NU-107960,11,186,214
NU-107960,12,268,239
NU-107960,13,308,183
NU-107960,14,224,159
NU-107960,15,401,211
NU-107960,16,155,153
NU-107651,1,375,177
NU-107651,2,322,180
NU-107651,3,419,260
NU-107651,4,348,239
NU-107651,5,185,162
NU-107651,6,290,213
NU-107651,7,216,183
NU-107651,8,397,212
NU-107651,9,177,124
NU-107651,10,374,220
NU-107651,11,378,231
NU-107651,12,577,272
NU-107651,13,373,193
NU-107651,14,311,197
NU-107651,15,231,153
NU-107651,16,309,192
NU-103551,1,312,231
NU-103551,2,467,279
NU-103551,3,450,249
NU-103551,4,445,274
NU-103551,5,435,217
NU-103551,6,455,314
NU-103551,7,413,267
NU-103551,8,318,233
NU-103551,9,118,83
NU-103551,10,413,217
NU-103551,11,501,288
NU-103551,12,409,235
NU-103551,13,389,223
NU-103551,14,266,232
NU-103551,15,399,257
NU-103551,16,568,320
NU-105923,1,321,232
NU-105923,2,323,138
NU-105923,3,312,179
NU-105923,4,203,121
NU-105923,5,208,116
NU-105923,6,293,179
NU-105923,7,422,228
NU-105923,8,297,149
NU-105923,9,112,63
NU-105923,10,272,148
NU-105923,11,343,249
NU-105923,12,189,119
NU-105923,13,211,119
NU-105923,14,324,212
NU-105923,15,187,177
NU-105923,16,292,215
NU-109390,1,229,139
NU-109390,2,227,201
NU-109390,3,302,164
NU-109390,4,246,172
NU-109390,5,261,208
NU-109390,6,338,202
NU-109390,7,307,157
NU-109390,8,323,189
NU-109390,9,101,96
NU-109390,10,215,142
NU-109390,11,181,105
NU-109390,12,349,174
NU-109390,13,382,210
NU-109390,14,244,178
NU-109390,15,307,202
NU-109390,16,305,199
NU-109631,1,150,105
NU-109631,2,267,190
NU-109631,3,346,186
NU-109631,4,190,117
NU-109631,5,287,166
NU-109631,6,211,172
NU-109631,7,160,159
NU-109631,8,233,126
NU-109631,9,67,46
NU-109631,10,406,209
NU-109631,11,299,163
NU-109631,12,330,191
NU-109631,13,222,168
NU-109631,14,251,149
NU-109631,15,177,113
NU-109631,16,188,151
NU-102791,1,388,248
NU-102791,2,297,178
NU-102791,3,307,200
NU-102791,4,180,188
NU-102791,5,378,273
NU-102791,6,403,262
NU-102791,7,219,132
NU-102791,8,285,192
NU-102791,9,207,105
NU-102791,10,325,185
NU-102791,11,258,138
NU-102791,12,288,250
NU-102791,13,303,181
NU-102791,14,321,165
NU-102791,15,198,149
NU-102791,16,483,260
NU-103338,1,314,191
NU-103338,2,207,185
NU-103338,3,518,240
NU-103338,4,273,185
NU-103338,5,499,264
NU-103338,6,459,226
NU-103338,7,294,221
NU-103338,8,278,207
NU-103338,9,160,111
NU-103338,10,269,208
NU-103338,11,337,262
NU-103338,12,445,251
NU-103338,13,226,144
NU-103338,14,263,262
NU-103338,15,353,197
NU-103338,16,539,282
NU-107301,1,472,272
NU-107301,2,297,247
NU-107301,3,432,316
NU-107301,4,470,234
NU-107301,5,289,167
NU-107301,6,539,297
NU-107301,7,349,247
NU-107301,8,331,241
NU-107301,9,222,136
NU-107301,10,591,293
NU-107301,11,732,345
NU-107301,12,417,288
NU-107301,13,402,288
NU-107301,14,548,301
NU-107301,15,507,251
NU-107301,16,290,237
NU-103618,1,373,366
NU-103618,2,584,342
NU-103618,3,567,330
NU-103618,4,470,381
NU-103618,5,632,357
NU-103618,6,614,372
NU-103618,7,474,265
NU-103618,8,549,339
NU-103618,9,186,127
NU-103618,10,516,311
NU-103618,11,585,309
NU-103618,12,539,324
NU-103618,13,486,308
NU-103618,14,348,370
NU-103618,15,495,328
NU-103618,16,337,314
NU-108813,1,175,128
NU-108813,2,284,188
NU-108813,3,314,215
NU-108813,4,274,163
NU-108813,5,398,209
NU-108813,6,306,175
NU-108813,7,308,166
NU-108813,8,262,146
NU-108813,9,92,63
NU-108813,10,269,119
NU-108813,11,218,163
NU-108813,12,358,188
NU-108813,13,232,156
NU-108813,14,175,180
NU-108813,15,310,188
NU-108813,16,52,36
NU-105683,1,406,252
NU-105683,2,489,276
NU-105683,3,431,233
NU-105683,4,309,183
NU-105683,5,317,182
NU-105683,6,498,211
NU-105683,7,248,204
NU-105683,8,352,198
NU-105683,9,141,106
NU-105683,10,413,214
NU-105683,11,350,228
NU-105683,12,336,240
NU-105683,13,397,209
NU-105683,14,340,188
NU-105683,15,587,300
NU-105683,16,241,210
NU-102605,1,196,246
NU-102605,2,539,356
NU-102605,3,342,230
NU-102605,4,233,214
NU-102605,5,480,333
NU-102605,6,374,291
NU-102605,7,297,219
NU-102605,8,347,213
NU-102605,9,243,114
NU-102605,10,475,331
NU-102605,11,361,204
NU-102605,12,292,234
NU-102605,13,605,266
NU-102605,14,345,279
NU-102605,15,380,258
NU-102605,16,587,311
NU-108925,1,338,186
NU-108925,2,152,104
NU-108925,3,350,242
NU-108925,4,375,229
NU-108925,5,265,152
NU-108925,6,248,128
NU-108925,7,320,174
NU-108925,8,233,136
NU-108925,9,112,66
NU-108925,10,212,158
NU-108925,11,342,231
NU-108925,12,264,143
NU-108925,13,285,180
NU-108925,14,311,188
NU-108925,15,395,234
NU-108925,16,315,184
NU-106692,1,296,223
NU-106692,2,474,259
NU-106692,3,409,236
NU-106692,4,452,254
NU-106692,5,451,263
NU-106692,6,430,222
NU-106692,7,208,186
NU-106692,8,302,201
NU-106692,9,105,70
NU-106692,10,444,205
NU-106692,11,368,234
NU-106692,12,151,104
NU-106692,13,387,218
NU-106692,14,314,181
NU-106692,15,307,217
NU-106692,16,329,182
NU-105629,1,539,258
NU-105629,2,400,251
NU-105629,3,319,217
NU-105629,4,277,199
NU-105629,5,385,211
NU-105629,6,323,192
NU-105629,7,304,201
NU-105629,8,234,171
NU-105629,9,78,54
NU-105629,10,346,267
NU-105629,11,305,240
NU-105629,12,620,289
NU-105629,13,222,140
NU-105629,14,490,244
NU-105629,15,294,180
NU-105629,16,319,211
NU-103156,1,302,189
NU-103156,2,402,265
NU-103156,3,319,178
NU-103156,4,249,186
NU-103156,5,377,198
NU-103156,6,377,238
NU-103156,7,192,118
NU-103156,8,366,251
NU-103156,9,187,92
NU-103156,10,344,180
NU-103156,11,265,175
NU-103156,12,285,170
NU-103156,13,453,230
NU-103156,14,288,178
NU-103156,15,262,198
NU-103156,16,408,218
NU-100986,1,442,221
NU-100986,2,558,267
NU-100986,3,340,221
NU-100986,4,243,133
NU-100986,5,397,249
NU-100986,6,349,213
NU-100986,7,352,185
NU-100986,8,484,202
NU-100986,9,172,108
NU-100986,10,366,256
NU-100986,11,299,195
NU-100986,12,209,149
NU-100986,13,366,236
NU-100986,14,309,188
NU-100986,15,468,246
NU-100986,16,306,209
NU-109403,1,513,274
NU-109403,2,558,274
NU-109403,3,612,317
NU-109403,4,684,309
NU-109403,5,685,366
NU-109403,6,470,319
NU-109403,7,413,300
NU-109403,8,406,284
NU-109403,9,351,167
NU-109403,10,320,226
NU-109403,11,550,266
NU-109403,12,277,290
NU-109403,13,346,312
NU-109403,14,517,327
NU-109403,15,535,285
NU-109403,16,414,354
NU-105739,1,188,115
NU-105739,2,115,120
NU-105739,3,166,166
NU-105739,4,208,143
NU-105739,5,502,257
NU-105739,6,202,146
NU-105739,7,340,171
NU-105739,8,176,171
NU-105739,9,86,76
NU-105739,10,381,173
NU-105739,11,363,251
NU-105739,12,217,161
NU-105739,13,241,156
NU-105739,14,413,205
NU-105739,15,325,209
NU-105739,16,296,170
NU-108334,1,221,154
NU-108334,2,525,259
NU-108334,3,335,203
NU-108334,4,361,197
NU-108334,5,191,108
NU-108334,6,191,117
NU-108334,7,268,124
NU-108334,8,298,155
NU-108334,9,94,50
NU-108334,10,79,63
NU-108334,11,128,73
NU-108334,12,195,109
NU-108334,13,151,134
NU-108334,14,304,158
NU-108334,15,194,105
NU-108334,16,148,115
NU-103905,1,436,285
NU-103905,2,790,310
NU-103905,3,468,306
NU-103905,4,369,317
NU-103905,5,412,268
NU-103905,6,441,311
NU-103905,7,396,286
NU-103905,8,332,265
NU-103905,9,166,141
NU-103905,10,362,250
NU-103905,11,415,239
NU-103905,12,561,354
NU-103905,13,448,288
NU-103905,14,315,210
NU-103905,15,278,289
NU-103905,16,525,321
NU-105144,1,250,204
NU-105144,2,245,152
NU-105144,3,332,171
NU-105144,4,216,117
NU-105144,5,189,93
NU-105144,6,429,219
NU-105144,7,274,183
NU-105144,8,242,140
NU-105144,9,132,77
NU-105144,10,147,132
NU-105144,11,273,173
NU-105144,12,312,194
NU-105144,13,381,182
NU-105144,14,316,205
NU-105144,15,277,186
NU-105144,16,208,112
NU-101928,1,179,151
NU-101928,2,167,110
NU-101928,3,255,140
NU-101928,4,244,174
NU-101928,5,194,143
NU-101928,6,256,170
NU-101928,7,435,205
NU-101928,8,337,184
NU-101928,9,169,80
NU-101928,10,365,183
NU-101928,11,263,207
NU-101928,12,263,155
NU-101928,13,195,124
NU-101928,14,174,103
NU-101928,15,317,179
NU-101928,16,255,144
NU-106813,1,496,293
NU-106813,2,583,371
NU-106813,3,507,281
NU-106813,4,378,249
NU-106813,5,418,244
NU-106813,6,387,270
NU-106813,7,395,268
NU-106813,8,503,249
NU-106813,9,217,133
NU-106813,10,416,281
NU-106813,11,425,268
NU-106813,12,470,270
NU-106813,13,490,274
NU-106813,14,261,237
NU-106813,15,392,295
NU-106813,16,463,280
NU-109315,1,307,191
NU-109315,2,344,181
NU-109315,3,442,225
NU-109315,4,371,218
NU-109315,5,191,156
NU-109315,6,483,271
NU-109315,7,343,227
NU-109315,8,415,218
NU-109315,9,115,68
NU-109315,10,362,200
NU-109315,11,123,145
NU-109315,12,355,208
NU-109315,13,454,212
NU-109315,14,432,239
NU-109315,15,305,206
NU-109315,16,352,199
NU-102921,1,146,76
NU-102921,2,192,155
NU-102921,3,287,208
NU-102921,4,317,176
NU-102921,5,221,121
NU-102921,6,154,83
NU-102921,7,379,216
NU-102921,8,168,108
NU-102921,9,121,76
NU-102921,10,171,136
NU-102921,11,343,174
NU-102921,12,315,204
NU-102921,13,152,93
NU-102921,14,282,142
NU-102921,15,184,161
NU-102921,16,322,203
NU-105568,1,395,227
NU-105568,2,224,122
NU-105568,3,305,176
NU-105568,4,311,145
NU-105568,5,415,205
NU-105568,6,266,176
NU-105568,7,284,190
NU-105568,8,393,195
NU-105568,9,162,92
NU-105568,10,398,243
NU-105568,11,279,149
NU-105568,12,245,187
NU-105568,13,334,206
NU-105568,14,318,215
NU-105568,15,203,141
NU-105568,16,260,155
NU-102296,1,462,328
NU-102296,2,455,366
NU-102296,3,538,311
NU-102296,4,732,358
NU-102296,5,352,278
NU-102296,6,699,377
NU-102296,7,502,303
NU-102296,8,582,326
NU-102296,9,122,151
NU-102296,10,246,217
NU-102296,11,755,392
NU-102296,12,448,336
NU-102296,13,636,341
NU-102296,14,445,263
NU-102296,15,520,361
NU-102296,16,646,359
NU-103341,1,176,79
NU-103341,2,188,93
NU-103341,3,168,81
NU-103341,4,106,57
NU-103341,5,121,87
NU-103341,6,212,129
NU-103341,7,184,130
NU-103341,8,41,29
NU-103341,9,69,42
NU-103341,10,130,82
NU-103341,11,250,178
NU-103341,12,95,89
NU-103341,13,252,184
NU-103341,14,94,63
NU-103341,15,147,100
NU-103341,16,117,78
NU-108692,1,569,321
NU-108692,2,298,278
NU-108692,3,394,248
NU-108692,4,501,235
NU-108692,5,375,263
NU-108692,6,415,250
NU-108692,7,407,218
NU-108692,8,476,232
NU-108692,9,126,90
NU-108692,10,364,250
NU-108692,11,385,233
NU-108692,12,433,266
NU-108692,13,491,301
NU-108692,14,550,281
NU-108692,15,426,225
NU-108692,16,504,369
NU-105355,1,133,82
NU-105355,2,264,134
NU-105355,3,158,89
NU-105355,4,105,58
NU-105355,5,217,148
NU-105355,6,310,140
NU-105355,7,184,146
NU-105355,8,297,163
NU-105355,9,66,50
NU-105355,10,150,81
NU-105355,11,144,84
NU-105355,12,341,162
NU-105355,13,169,96
NU-105355,14,128,77
NU-105355,15,213,121
NU-105355,16,50,54
NU-108269,1,350,227
NU-108269,2,271,247
NU-108269,3,495,208
NU-108269,4,523,240
NU-108269,5,413,282
NU-108269,6,299,207
NU-108269,7,310,203
NU-108269,8,412,260
NU-108269,9,130,100
NU-108269,10,428,237
NU-108269,11,307,209
NU-108269,12,316,241
NU-108269,13,457,269
NU-108269,14,337,250
NU-108269,15,238,214
NU-108269,16,400,222
NU-109348,1,217,249
NU-109348,2,349,292
NU-109348,3,471,295
NU-109348,4,469,308
NU-109348,5,315,248
NU-109348,6,559,300
NU-109348,7,441,294
NU-109348,8,440,255
NU-109348,9,112,83
NU-109348,10,602,337
NU-109348,11,437,220
NU-109348,12,275,188
NU-109348,13,376,259
NU-109348,14,278,195
NU-109348,15,306,208
NU-109348,16,595,279
NU-103812,1,229,212
NU-103812,2,482,218
NU-103812,3,452,215
NU-103812,4,367,186
NU-103812,5,300,160
NU-103812,6,253,173
NU-103812,7,351,206
NU-103812,8,273,178
NU-103812,9,112,64
NU-103812,10,311,192
NU-103812,11,282,257
