student_id,major,age,housing,commute_miles,work_hours_per_week,advisor_meetings,credits_attempted,final_gpa,study_hours_reported,enrollment_date,dropped_out
NU-105893,Information Science,22,With Family,10.8,25,1,33,2.75,12.8,06-Dec-2023,0
NU-100101,Cybersecurity,22,On-Campus,5.1,18,2,49,2.24,8.1,2024-03-14,0
NU-109641,Cybersecurity,23,Off-Campus,7.9,35,4,35,2.42,12.5,04/08/2024,0
NU-101130,Learning Technologies,0,with family,37.2,12,1,43,1.65,0.5,09/22/2022,1
NU-107610,Cybersecurity,25,on-campus,4.5,0,1,29,2.83,13.3,11/13/2023,1
NU-100021,Business Analytics,23,Off-Campus,16.3,28,3,33,1.4,2.3,08/24/2023,0
NU-108470,Cybersecurity,23,Off-Campus,7.5,18,4,15,3.2,12.5,11/26/2022,0
NU-103104,Information Technology,27,On-Campus,38.3,0,4,40,2.39,,05/05/2024,0
NU-102986,Data Science,22,With Family,20.0,18,2,45,1.84,5.6,2024-02-17,0
NU-103481,Information Science,28,On-Campus,29.0,20,1,21,2.29,10.2,2022-10-05,1
NU-108751,Information Technology,32,On-Campus,34.7,18,2,50,2.12,9.2,10/10/2023,0
NU-102734,Information Technology,27,On-Campus,5.8,12,3,28,2.79,8.7,2024-02-09,0
NU-103229,DataScience,26,Off-Campus,4.6,30,1,60,3.03,17.9,09/01/2022,0
NU-103924,Information Science,29,Off-Campus,13.1,18,4,74,3.04,10.2,03/24/2024,0
NU-108818,Information Technology,30,On-Campus,5.3,25,3,8,2.8,11.3,2024-05-05,0
NU-100863,Cybersecurity,23,On-Campus,9.8,18,4,93,3.02,13.6,15-Apr-2024,0
NU-103940,Information  Science,23,off campus,13.3,0,3,29,3.55,12.1,05/24/2024,0
NU-100895,Cybersecurity,31,With Family,14.1,30,2,63,3.24,13.3,12/17/2022,0
NU-106691,Information Science,26,On-Campus,8.6,20,7,70,2.25,8.5,09/30/2023,1
NU-103525,Learning Technologies,22,Off-Campus,16.9,15,1,26,2.74,15.4,2024-02-05,0
NU-102705,Business Analytics,20,Off-Campus,25.3,15,4,86,2.07,11.9,02/17/2024,0
NU-102946,Data Science,25,With Family,6.6,25,2,93,1.6,6.3,2022-12-14,0
NU-105110,Learning Technologies,23,On-Campus,11.9,20,0,25,2.36,6.8,10/24/2023,0
NU-103820,Learning Technologies,28,On-Campus,6.3,20,0,9,1.87,5.5,11/05/2022,0
NU-109021,Data Science,22,Off-Campus,5.9,12,4,76,3.16,14.7,11/14/2022,0
NU-109466,Cybersecurity,25,with family,2.9,30,2,43,1.67,4.4,09/05/2023,0
NU-104783,Learning Technologies,21,On-Campus,2.2,12,4,51,2.98,18.7,11/20/2022,0
NU-105414,Info Technology,24,Off-Campus,9.2,0,3,50,3.11,17.2,2023-09-26,0
NU-109845,Learning Technologies,24,Off-Campus,20.3,18,0,91,2.43,12.0,2022-11-18,0
NU-102146,DataScience,25,With Family,17.2,20,2,49,1.68,12.6,2024-03-16,0
NU-104269,Learning Technologies,30,Off-Campus,22.4,28,1,72,1.64,7.6,05/02/2024,1
NU-101053,Information Technology,32,Off-Campus,9.3,30,1,76,1.92,6.4,12/06/2023,0
NU-108633,Cybersecurity,26,With Family,14.8,30,1,81,2.83,15.1,2022-09-16,0
NU-101025,Business Analytics,26,On-Campus,1.7,18,2,53,2.79,10.9,2023-08-28,1
NU-108608,Business Analytics,22,Off-Campus,4.0,35,3,37,2.13,8.4,2024-05-04,1
NU-108643,Data Science,34,Off-Campus,6.7,5,1,74,2.13,,12/16/2023,0
NU-100953,Business Analytics,23,Off-Campus,12.1,15,4,73,1.95,8.8,09/20/2023,0
NU-109264,Cybersecurity,22,On-Campus,14.6,35,2,32,2.56,13.4,09/16/2022,0
NU-107711,Information Technology,26,With Family,42.4,20,0,47,1.64,2.6,07-Sep-2023,0
NU-106213,Cybersecurity,22,With Family,22.2,25,0,29,1.18,1.8,2022-10-29,1
NU-108451,Cybersecurity,25,Off-Campus,6.0,20,3,70,1.12,6.1,09/22/2022,0
NU-108767,Information Science,23,Off-Campus,9.7,0,3,79,2.96,9.4,12/08/2022,1
NU-108061,Cybersecurity,29,off campus,5.6,30,2,34,2.36,13.4,11/06/2022,0
NU-109501,Cybersecurity,21,off campus,14.6,0,3,28,2.88,16.2,05/18/2024,0
NU-107060,Information Science,20,On-Campus,9.6,0,2,64,2.13,,02/02/2024,0
NU-108564,Cybersecurity,26,With Family,6.9,10,1,55,3.08,17.4,27-Nov-2023,0
NU-106890,Information Science,30,Off-Campus,14.1,5,2,0,0.0,11.2,01/21/2025,0
NU-104945,Data Science,27,On-Campus,4.2,0,1,0,1.45,4.9,09/21/2022,0
NU-102436,Learning Technologies,27,On-Campus,21.2,18,1,74,2.64,9.0,2022-10-17,0
NU-109740,Data Science,23,Off-Campus,25.7,0,1,56,2.35,10.1,2022-08-25,0
NU-105355,Business Analytics,25,Off-Campus,21.3,28,0,79,1.65,,2023-11-14,0
NU-101292,Data Science,29,Off-Campus,28.2,10,4,91,1.77,1.6,07-Dec-2023,0
NU-106152,Business Analytics,25,With Family,10.5,20,2,29,2.14,11.4,12/06/2022,1
NU-103619,Business Analytics,28,Off-Campus,13.1,18,5,71,1.77,7.6,2024-02-17,0
NU-100905,Cybersecurity,22,Off-Campus,17.4,30,3,128,2.32,12.0,2024-03-30,1
NU-108004,Business Analytics,30,on-campus,14.0,20,1,51,2.79,10.9,12/04/2022,0
NU-103836,Cyber Security,26,off campus,4.6,18,5,77,2.6,16.8,2022-08-26,0
NU-101928,Data Science,31,Off-Campus,6.8,35,1,0,1.38,6.5,09/26/2023,0
NU-101479,Information Technology,24,Off-Campus,3.0,10,1,46,2.25,,2024-03-13,0
NU-108130,Data Science,26,Off-Campus,8.4,25,0,64,2.22,10.0,02/14/2024,0
NU-104529,Cybersecurity,22,Off-campus,12.9,18,1,74,2.45,10.2,12-Nov-2023,0
NU-103330,Information Technology,27,Off-Campus,1.7,15,0,28,3.47,,10/01/2022,1
NU-104053,Information Science,26,On-Campus,7.5,15,2,39,1.37,,2022-09-05,1
NU-104763,Cyber Security,21,With Family,8.4,30,2,65,2.29,9.6,12/03/2022,0
NU-107891,Data Science,32,off campus,6.8,40,1,54,2.51,14.1,2023-10-13,0
NU-103586,Data Science,21,With Family,34.5,12,1,121,1.84,3.2,10/01/2022,0
NU-107455,Cybersecurity,23,off campus,28.3,18,1,90,1.54,5.6,09/01/2022,0
NU-104877,Business Analytics,23,Off-Campus,11.1,15,1,13,2.12,10.3,02/11/2024,0
NU-106795,Business Analytics,24,Off-Campus,21.1,20,0,63,1.29,,12/18/2023,1
NU-104889,Learning Technologies,21,With Family,6.7,20,2,65,1.97,7.4,23-Aug-2022,0
NU-104621,Information  Science,22,Off-Campus,15.5,28,2,19,1.41,3.0,12/15/2022,0
NU-108334,Data Science,22,with family,11.9,20,0,77,1.57,8.5,30-Aug-2023,1
NU-104676,Information Science,25,Off-Campus,2.3,15,5,63,2.25,12.9,10/18/2023,1
NU-103390,Business Analytics,24,With Family,20.8,25,4,62,2.13,6.3,11/02/2023,0
NU-105693,Cyber Security,23, On-Campus,13.6,18,7,43,2.59,12.6,09/05/2023,0
NU-102077,Business Analytics,24,Off-Campus,1.2,30,5,23,1.82,6.4,2022-10-24,0
NU-104583,Information Science,27,With Family,10.8,25,1,12,2.1,11.3,04/20/2024,1
NU-102683,Business Analytics,23,Off-Campus,39.9,0,2,71,2.57,9.4,02/03/2024,0
NU-106940,Cybersecurity,26,With Family,22.6,35,5,73,2.11,6.5,09/29/2023,0
NU-106854,Business Analytics,27,On-Campus,9.3,0,9,84,2.08,13.8,2023-09-06,0
NU-105645,Information Technology,29,With Family,24.7,15,1,62,2.7,11.1,05-Dec-2022,1
NU-109747,Learning Technologies,19,Off-Campus,7.3,5,5,70,2.3,,28-Oct-2023,0
NU-108800,Business Analytics,26,On-Campus,2.0,5,3,46,2.91,13.8,11/16/2022,0
NU-100365,Info Technology,23,On-Campus,27.7,15,4,51,1.97,8.8,2022-12-02,1
NU-109436,Cybersecurity,24,off campus,12.1,35,3,20,2.28,10.5,09/25/2022,0
NU-104789,Cybersecurity,22,On-Campus,18.0,40,4,61,2.28,6.1,2023-12-14,0
NU-102955,Information Science,22,Off-Campus,1.3,12,2,97,2.43,7.1,2023-11-24,1
NU-103342,Information Science,26,Off-Campus,13.5,20,3,80,2.54,,2024-04-23,0
NU-105476,Cybersecurity,23,Off-Campus,7.8,28,1,2,2.07,16.6,20-Oct-2023,0
NU-103898,Cybersecurity,30,On-Campus,8.4,20,2,2,3.07,8.3,2024-03-11,0
NU-104883,Cyber Security,29,Off-Campus,7.8,18,3,42,2.63,12.6,09/07/2023,1
NU-107154,Cybersecurity,21,on-campus,4.4,15,2,23,2.78,11.6,11/04/2023,0
NU-108560,Business Analytics,25,Off-campus,15.5,35,2,39,0.95,6.2,2024-04-07,0
NU-103069,Data Science,23,On-Campus,3.2,15,6,70,2.26,,08/29/2022,1
NU-106129,Business Analytics,27,Off-campus,11.2,15,6,82,3.19,10.9,04/21/2024,0
NU-100133,Information Technology,22,With Family,23.2,40,3,66,1.53,6.6,10/14/2023,0
NU-109871,Data Science,24,On-Campus,8.1,18,1,17,1.25,3.4,2022-12-01,1
NU-100485,Learning Technologies,26,on-campus,12.5,18,6,10,3.26,13.6,20-Oct-2023,0
NU-106041,Cybersecurity,26,with family,12.9,20,6,54,3.0,10.5,05/22/2024,0
NU-102530,Cybersecurity,32,Off-campus,5.9,15,0,0,0.0,15.1,01/21/2025,0
NU-109164,Cybersecurity,23,With Family,10.2,5,2,64,2.88,7.2,07-Dec-2022,0
NU-104597,Cybersecurity,30,With Family,4.4,10,2,52,2.32,4.8,09/18/2023,0
NU-108724,Cybersecurity,34,Off-campus,13.8,18,0,23,2.88,16.4,11/05/2023,0
NU-105970,Cybersecurity,26,On-Campus,10.7,20,1,82,1.84,5.8,04/01/2024,0
NU-104915,Cybersecurity,22,On-Campus,16.8,10,3,11,0.39,,2022-08-29,0
NU-108281,Info Technology,23,Off-Campus,4.9,30,3,20,2.32,,11/03/2022,0
NU-106505,Information Technology,25,On-Campus,13.6,25,1,60,2.24,,10/07/2023,0
NU-109852,Learning Technologies,25,Off-Campus,24.1,20,5,74,2.66,13.9,10/08/2022,0
NU-108269,Data Science,27,Off-Campus,9.9,10,3,0,0.0,10.6,2025-01-15,0
NU-109291,Data Science,29,Off-Campus,2.5,35,1,16,1.88,6.1,2023-10-31,0
NU-108143,Learning Technologies,25,On-Campus,38.2,15,1,21,1.87,6.9,04-Sep-2022,0
NU-107832,Business Analytics,23,On-Campus,46.7,0,0,40,1.95,4.6,11/30/2023,0
NU-106983,DataScience,26,Off-Campus,1.1,40,3,86,2.38,5.8,02/28/2024,1
NU-106572,Information Science,28,Off-Campus,1.7,20,1,5,2.11,15.6,11/01/2022,0
NU-105988,Cybersecurity,26,Off-Campus,8.7,0,5,54,3.08,15.4,11-Feb-2024,0
NU-109161,Information Science,21,Off-Campus,4.3,0,9,103,1.98,11.1,19-Nov-2022,0
NU-100135,Cybersecurity,20,on-campus,8.7,10,4,85,2.89,14.0,2024-02-24,0
NU-105568,Cybersecurity,24,Off-Campus,17.2,18,0,0,2.22,6.9,2022-12-16,0
NU-104072,Cybersecurity,28,On-Campus,26.7,25,1,22,1.34,,05/16/2024,1
NU-103001,Information Science,24,Off-Campus,7.9,20,1,38,2.09,7.9,2024-05-03,0
NU-109593,Cybersecurity,30,off campus,5.6,0,0,54,1.93,,11/09/2022,0
NU-104612,Data Science,21, On-Campus,4.5,12,0,39,2.77,10.6,21-Apr-2024,0
NU-103298,Cybersecurity,28,Off-Campus,5.7,25,2,82,1.97,8.3,11/30/2022,0
NU-103717,Cybersecurity,26,Off-Campus,4.3,0,3,12,2.3,5.8,12/12/2022,0
NU-104639,Information Technology,26,With Family,0.2,20,0,28,3.19,14.8,2022-09-02,1
NU-106855,Cybersecurity,28,Off-Campus,13.2,30,6,100,2.34,15.1,10/26/2023,1
NU-104020,Data Science,22,off campus,9.5,10,7,69,2.97,16.6,10/29/2022,0
NU-104222,Learning Technologies,21,Off-Campus,29.1,5,4,19,2.47,12.6,02/05/2024,0
NU-101226,Data Science,25,Off-Campus,3.3,15,2,0,2.03,7.7,11/04/2023,1
NU-102859,Learning Technologies,24,Off-Campus,19.5,10,0,0,2.98,13.5,2024-04-20,0
NU-103058,Information Science,24,With Family,8.8,5,1,75,2.13,8.8,2023-11-12,0
NU-103727,Information  Science,23,Off-Campus,0.7,0,2,43,2.99,8.2,2022-08-24,0
NU-102726,Learning Technologies,23,Off-Campus,23.1,28,1,45,2.13,10.1,10/08/2022,0
NU-105401,Learning Technologies,25,On-Campus,3.7,10,1,59,2.28,,2022-10-23,0
NU-101568,Learning Technologies,20,With Family,27.0,20,0,94,1.2,6.1,2024-04-30,0
NU-106608,Cybersecurity,27,Off-Campus,8.1,25,8,17,2.09,8.6,2023-11-27,0
NU-101988,Cybersecurity,20,On-Campus,8.8,0,2,0,0.0,2.7,01/13/2025,0
NU-102237,Learning Technologies,23,Off-Campus,51.3,12,5,90,2.63,10.1,03/01/2024,0
NU-103204,Data Science,24,Off-Campus,4.3,28,1,22,0.85,,11/16/2022,0
NU-106998,Learning Technologies,21,With Family,11.2,0,0,0,3.26,16.9,09/15/2023,0
NU-100492,Business Analytics,31,With Family,15.3,30,2,37,1.61,9.2,2023-08-22,1
NU-102024,Cybersecurity,20,On-Campus,28.1,30,2,57,1.76,6.2,10/19/2022,0
NU-106478,Business Analytics,28,With Family,1.4,20,1,83,1.29,3.2,2022-08-24,1
NU-104860,Data Science,29,On-Campus,2.9,28,5,85,2.88,12.0,2022-09-14,0
NU-103275,Learning Technologies,24,With Family,38.5,15,4,65,2.41,8.3,02/08/2024,0
NU-104766,Information Science,28,On-Campus,8.5,5,3,32,3.42,16.7,11/11/2023,0
NU-106496,Cybersecurity,22,Off-Campus,5.8,40,5,51,2.62,15.0,03/26/2024,0
NU-105750,Business Analytics,26,With Family,2.4,30,5,65,2.88,15.9,29-Aug-2022,0
NU-107644,Data Science,28,on-campus,10.0,10,5,43,3.49,19.0,06-Nov-2022,0
NU-106027,Information Technology,19,Off-Campus,2.0,28,4,46,2.78,17.3,30-Nov-2023,0
NU-102961,Business Analytics,24,Off-Campus,7.1,35,0,3,2.5,,10/07/2023,0
NU-101150,Business Analytics,24,on-campus,30.2,30,3,53,1.38,7.4,07-Dec-2022,0
NU-105090,Cybersecurity,22,Off-Campus,2.8,0,5,42,3.09,12.6,11/05/2023,0
NU-103905,Data Science,29,On-Campus,8.8,18,2,73,3.66,11.5,24-Oct-2022,0
NU-108386,Business Analytics,25,With Family,46.2,10,1,82,1.98,12.5,05/01/2024,0
NU-102194,Information Science,27,Off-Campus,8.1,25,3,30,2.22,12.8,07-Apr-2024,0
NU-106303,Information Science,26,Off-Campus,16.3,20,2,75,1.2,5.8,2022-12-20,0
NU-106401,Data Science,27,With Family,8.9,35,1,63,2.28,8.9,19-Nov-2023,1
NU-108733,Information Technology,21,Off-campus,2.5,0,2,43,2.28,7.5,04/01/2024,0
NU-100478,Business Analytics,27,on-campus,12.4,0,1,13,2.4,7.1,12/08/2023,1
NU-100685,Business Analytics,23,With Family,17.7,12,6,56,2.26,9.6,12/08/2022,0
NU-106425,Cyber Security,25,Off-Campus,38.5,18,2,15,2.57,8.8,12/04/2022,1
NU-109736,Information Technology,30,Off-campus,28.5,10,1,67,2.68,10.5,2024-04-09,0
NU-108928,Information Technology,29,Off-campus,1.5,12,1,33,2.73,13.9,11/03/2023,1
NU-105317,Data Science,24,Off-Campus,7.6,30,1,42,1.74,10.5,2024-02-06,0
NU-102608,Cybersecurity,22,On-Campus,10.7,25,3,57,2.28,15.7,2024-02-02,1
NU-103498,Cybersecurity,20,Off-Campus,3.4,28,5,87,1.97,9.8,08-Sep-2022,0
NU-108602,Information Technology,23,On-Campus,4.2,15,5,42,2.38,6.0,09-Mar-2024,0
NU-107971,Learning Technologies,25,off campus,3.3,18,2,90,2.73,13.9,02/22/2024,0
NU-108749,Information Technology,30,Off-Campus,5.5,30,3,31,2.35,8.2,2022-10-09,0
NU-109121,Information Science,27,With Family,11.4,18,5,42,2.19,7.9,22-Nov-2023,0
NU-108965,Cybersecurity,31,On-Campus,13.0,18,0,52,1.49,5.6,2022-11-16,0
NU-102671,Cybersecurity,33,On-Campus,27.3,15,1,71,0.0,,02-Oct-2023,0
NU-101091,Cybersecurity,28,On-Campus,1.6,30,3,74,1.53,3.5,09/09/2022,0
NU-103703,Information Technology,26,Off-Campus,20.5,5,3,31,2.28,5.4,2024-02-05,0
NU-109636,Information Technology,34,With Family,17.3,28,1,71,1.19,,03/12/2024,0
NU-102593,Cybersecurity,27,On-Campus,17.4,30,1,98,1.78,6.0,2022-10-28,0
NU-104536,Learning Technologies,28,On-Campus,6.8,0,3,82,3.01,12.8,12/07/2023,0
NU-104885,Learning Technologies,26,On-Campus,0.4,20,3,0,2.53,19.7,05/19/2024,0
NU-100911,Data Science,20,Off-Campus,6.0,10,3,62,3.55,16.1,12/06/2023,0
NU-104142,Learning Technologies,29,On-Campus,9.5,30,5,37,3.13,11.8,10/02/2023,1
NU-104473,Business Analytics,23,Off-Campus,5.1,12,2,72,2.87,13.5,05/05/2024,0
NU-104352,Data Science,25, On-Campus,12.7,10,3,68,2.73,10.2,10/19/2023,0
NU-104836,Information Technology,28,On-Campus,9.4,30,1,33,1.53,,18-Mar-2024,0
NU-106599,Business Analytics,24,Off-Campus,30.2,10,1,0,1.82,6.9,08-Nov-2023,0
NU-107855,DataScience,23,Off-Campus,3.8,28,4,39,2.09,7.1,05/21/2024,0
NU-101480,Data Science,25,Off-Campus,8.5,30,2,45,2.1,7.9,09/25/2022,0
NU-103042,Information Science,32,Off-Campus,13.7,0,5,84,3.35,13.7,09/01/2022,0
NU-108033,Data Science,25,Off-Campus,8.0,20,1,32,1.78,6.5,12/05/2022,1
NU-104585,DataScience,21,Off-Campus,20.1,20,1,19,2.12,9.0,11/20/2023,0
NU-108848,Cyber Security,22,Off-Campus,17.6,20,2,45,1.77,5.5,09/09/2022,0
NU-109202,Information Technology,22,Off-Campus,10.9,10,2,54,3.08,17.2,11/17/2022,0
NU-102938,Cybersecurity,27,With Family,3.0,30,1,75,1.82,8.2,31-Aug-2022,0
NU-105272,Cybersecurity,25, On-Campus,26.3,25,5,18,2.07,,2022-12-11,1
NU-107774,Cybersecurity,30,Off-Campus,13.1,15,3,55,4.0,12.2,02/07/2024,0
NU-105076,Data Science,24,Off-Campus,15.5,28,4,66,2.49,11.3,11/14/2022,1
NU-108424,Cyber Security,23,Off-Campus,10.9,30,3,84,2.81,15.0,12/12/2023,0
NU-105487,Learning Technologies,23,off campus,19.6,18,1,58,1.61,7.6,03/24/2024,0
NU-105676,Info Technology,20,On-Campus,8.1,20,1,0,0.0,10.0,2025-01-22,0
NU-101223,Business Analytics,27,Off-campus,14.4,40,3,38,2.55,9.9,2024-03-07,0
NU-107835,Cybersecurity,25,Off-Campus,18.0,20,0,75,1.11,,2023-12-15,0
NU-104342,Cyber Security,30,On-Campus,6.8,12,2,2,3.62,18.2,10/30/2022,0
NU-103408,Cyber Security,28,On-Campus,10.1,0,4,68,3.2,11.4,02/05/2024,0
NU-105840,Data Science,24,Off-Campus,3.9,35,2,75,2.28,9.0,08/21/2023,0
NU-104931,Information Science,22,With Family,5.1,18,2,75,3.27,15.6,02/18/2024,0
NU-109647,Cybersecurity,39,on-campus,15.7,30,4,80,1.65,,10/24/2022,0
NU-109340,Information Science,22,Off-Campus,8.9,10,1,2,2.32,12.5,2022-12-05,0
NU-104044,Business Analytics,22,On-Campus,6.9,30,3,55,1.96,,10/09/2022,0
NU-105997,Cybersecurity,19,With Family,9.7,28,1,39,0.0,,11/18/2023,0
NU-104825,Cyber Security,27,with family,13.2,40,2,90,1.2,,03/04/2024,1
NU-105896,Business Analytics,27,With Family,32.2,40,2,31,1.72,6.3,12/11/2022,0
NU-103867,Cybersecurity,26,With Family,0.7,20,0,39,3.02,11.1,05/04/2024,0
NU-106975,Cyber Security,27,on-campus,28.2,18,1,39,1.95,7.7,10/30/2022,0
NU-109762,Information Technology,30,On-Campus,26.4,0,1,81,2.66,11.2,2024-02-26,1
NU-108825,Cybersecurity,21,Off-Campus,11.7,10,3,44,2.05,8.3,2023-08-29,0
NU-109676,Learning Technologies,26,On-Campus,7.2,15,0,0,1.93,11.7,2022-09-23,0
NU-106951,Cybersecurity,23,Off-Campus,13.8,20,2,31,1.71,6.7,02-Oct-2023,1
NU-104782,Information Science,20,Off-Campus,0.8,25,1,63,2.19,11.6,11-Oct-2022,0
NU-104756,Info Technology,30,Off-Campus,8.8,10,3,37,2.51,8.2,2024-03-31,0
NU-102836,Information Technology,20,Off-Campus,5.8,15,4,34,2.76,14.1,25-Aug-2022,0
NU-105475,Business Analytics,28,Off-Campus,17.5,20,3,46,1.73,5.5,2024-02-11,0
NU-109701,Business Analytics,27,With Family,15.3,10,1,30,2.05,7.0,2024-05-28,0
NU-107830,Information Technology,22,On-Campus,9.8,5,6,81,3.27,18.7,2024-03-03,0
NU-106280,Information Science,27,On-Campus,14.3,12,3,28,2.61,14.7,2022-11-19,0
NU-101798,Data Science,23,Off-Campus,37.4,5,1,48,2.57,11.7,2023-10-17,0
NU-107893,Cybersecurity,25,Off-Campus,4.4,18,4,78,2.32,11.0,05/03/2024,0
NU-107349,Information Technology,23,Off-Campus,11.8,18,3,45,3.03,18.8,2024-03-29,0
NU-109617,Data Science,24, On-Campus,5.6,40,3,45,2.1,9.6,10/31/2022,0
NU-109175,Cybersecurity,23,With Family,3.0,12,3,59,3.1,12.0,2023-10-19,0
NU-100300,Learning Technologies,29,With Family,10.3,30,1,63,2.2,9.9,03/31/2024,0
NU-109492,DataScience,30,On-Campus,6.3,15,3,21,2.94,17.2,2024-02-13,0
NU-109006,Cybersecurity,22,On-Campus,17.8,20,1,55,2.1,8.6,11/13/2023,0
NU-108508,Learning Technologies,21,Off-Campus,1.3,15,1,14,2.91,11.6,05/23/2024,1
NU-106842,Information Science,24,With Family,16.0,5,5,44,2.36,9.5,10/31/2022,0
NU-101826,Cyber Security,28,On-Campus,17.7,12,2,27,2.98,11.6,09/10/2023,0
NU-102580,Cybersecurity,31,on-campus,4.8,25,2,50,2.7,12.9,02/06/2024,0
NU-100077,Information Technology,28,On-Campus,10.8,0,0,102,2.02,7.2,04/24/2024,1
NU-105526,Information Science,22,On-Campus,19.3,25,3,99,1.91,7.2,10/16/2022,0
NU-107391,Business Analytics,23,On-Campus,6.6,25,2,25,2.69,13.0,2022-12-03,0
NU-100161,Information Science,26,On-Campus,4.1,15,4,8,3.45,19.1,09/24/2023,1
NU-107878,Cybersecurity,25,With Family,9.5,30,3,71,2.39,15.8,15-Nov-2023,0
NU-103635,Information Science,25,Off-campus,3.7,5,3,96,3.71,15.0,09/13/2022,0
NU-107536,Cybersecurity,27,On-Campus,7.5,20,1,36,2.0,8.7,17-Sep-2023,0
NU-104973,Cybersecurity,21,off campus,4.6,0,1,9,2.13,10.4,11/03/2023,0
NU-104228,Cybersecurity,32,Off-Campus,12.0,40,1,77,2.12,,08/27/2022,0
NU-106255,Learning Technologies,31, On-Campus,10.3,10,2,0,0.0,12.3,2025-01-17,0
NU-108403,Business Analytics,25,Off-Campus,3.9,20,1,74,2.18,12.6,2022-11-22,0
NU-103303,Business Analytics,22,On-Campus,8.5,30,0,47,1.38,8.4,12/03/2023,0
NU-108770,Information Technology,25,On-Campus,11.2,28,1,79,2.97,12.3,09/01/2023,0
NU-100564,Data Science,31,on-campus,9.4,0,1,43,1.66,6.1,24-Oct-2022,0
NU-108316,Business Analytics,28,On-Campus,12.5,0,6,24,3.23,14.5,20-Mar-2024,0
NU-103606,Cybersecurity,22,Off-Campus,4.0,0,0,72,1.48,11.2,2022-10-20,0
NU-105127,Data Science,25,With Family,8.7,18,2,28,2.52,10.7,2022-09-09,1
NU-106007,Cybersecurity,22,Off-Campus,14.8,28,2,45,2.04,7.8,22-Sep-2022,0
NU-102883,Cyber Security,28,Off-Campus,10.0,18,3,63,2.71,11.8,11/14/2022,0
NU-100544,Data Science,25,With Family,16.5,15,0,70,1.84,5.7,22-Apr-2024,0
NU-106175,Cybersecurity,21,With Family,2.3,5,2,47,3.0,11.7,11/01/2023,0
NU-107026,Business Analytics,26,With Family,12.3,30,1,65,2.04,10.0,2023-12-17,0
NU-108181,Business Analytics,22,Off-Campus,11.1,20,3,39,2.56,13.1,04/30/2024,0
NU-109962,Information Technology,19,Off-Campus,31.4,10,1,108,1.75,,2022-09-20,1
NU-100483,Data Science,22,With Family,28.7,18,5,54,1.41,11.6,11/03/2023,0
